Ch 	 mean(nA) 	 sd(nA) 
1	13.376292999999999	3.629971457849374
2	14.682599999999997	2.7635443385462644
3	13.156725999999999	2.439676705559343
4	14.41638	2.4654720079079735
5	10.012587	2.0836979629817862
6	10.440745999999999	3.108145153271392
7	9.640061999999999	1.4426432930007336
8	10.241067000000001	3.045675995761313
9	9.6797887	3.629528526278006
10	12.371933	2.408847952261044
11	11.964633000000003	1.4527756613083798
12	11.383502999999997	2.1274683732029698
13	10.20431	2.4923322968969357
14	11.820597000000001	2.2186781592853886
15	10.149676000000001	1.904026221821071
16	10.375185	2.1107341202279466
