HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,35.0765,0.00540,3.70763e+01,3.70766e+01,3.70763e+01,3.70762e+01,2.55307e-09,-1.96861e-09,3.65575e-09,5.78662e-09
35.5,35.5793,0.00250,3.75792e+01,3.75791e+01,3.75789e+01,3.75792e+01,1.64078e-09,4.13921e-09,5.95384e-09,1.34442e-09
36.0,36.0825,0.00200,3.80822e+01,3.80825e+01,3.80822e+01,3.80823e+01,4.68890e-09,-3.47694e-10,4.88096e-09,2.50505e-09
36.5,36.5866,0.00300,3.85864e+01,3.85865e+01,3.85864e+01,3.85863e+01,3.81470e-09,2.31630e-09,3.35111e-09,5.39753e-09
37.0,37.09,0.00270,3.90896e+01,3.90895e+01,3.90893e+01,3.90894e+01,7.20719e-09,8.78672e-09,1.08894e-08,9.42416e-09
37.5,37.5945,0.00400,3.95923e+01,3.95921e+01,3.95922e+01,3.95924e+01,3.71867e-08,3.99301e-08,3.86635e-08,3.56750e-08
38.0,38.0971,0.00255,4.00922e+01,4.00917e+01,4.00920e+01,4.00922e+01,8.23720e-08,8.93109e-08,8.50442e-08,8.12378e-08
38.5,38.6001,0.00280,4.05915e+01,4.05909e+01,4.05911e+01,4.05919e+01,1.44086e-07,1.52770e-07,1.50383e-07,1.36816e-07
39.0,39.1047,0.00425,4.10915e+01,4.10899e+01,4.10911e+01,4.10918e+01,2.20413e-07,2.46285e-07,2.27307e-07,2.15881e-07
39.5,39.6071,0.00305,4.15876e+01,4.15856e+01,4.15871e+01,4.15882e+01,3.24524e-07,3.57843e-07,3.33549e-07,3.14323e-07
40.0,40.1109,0.00330,4.20837e+01,4.20809e+01,4.20832e+01,4.20841e+01,4.53060e-07,5.00729e-07,4.61971e-07,4.46409e-07
40.5,40.6133,0.00260,4.25764e+01,4.25719e+01,4.25755e+01,4.25767e+01,6.15597e-07,6.89963e-07,6.30922e-07,6.10696e-07
41.0,41.1182,0.00330,4.30681e+01,4.30626e+01,4.30672e+01,4.30688e+01,8.35642e-07,9.27453e-07,8.50778e-07,8.22801e-07
41.5,41.6205,0.00215,4.35538e+01,4.35459e+01,4.35531e+01,4.35537e+01,1.11150e-06,1.24282e-06,1.12374e-06,1.11414e-06
42.0,42.124,0.00185,4.40346e+01,4.40255e+01,4.40351e+01,4.40340e+01,1.49006e-06,1.64223e-06,1.48216e-06,1.49976e-06
42.5,42.6278,0.00250,4.45083e+01,4.44948e+01,4.45077e+01,4.45076e+01,1.99255e-06,2.21678e-06,2.00139e-06,2.00350e-06
43.0,43.1317,0.00350,4.49715e+01,4.49519e+01,4.49718e+01,4.49690e+01,2.67136e-06,2.99685e-06,2.66635e-06,2.71211e-06
43.5,43.6343,0.00255,4.54157e+01,4.53885e+01,4.54165e+01,4.54091e+01,3.64391e-06,4.09775e-06,3.63065e-06,3.75390e-06
44.0,44.1363,0.00165,4.58352e+01,4.57978e+01,4.58362e+01,4.58199e+01,5.01949e-06,5.64334e-06,5.00236e-06,5.27485e-06
44.5,44.6402,0.00365,4.62175e+01,4.61636e+01,4.62210e+01,4.61973e+01,7.04691e-06,7.94468e-06,6.98804e-06,7.38300e-06
45.0,45.1442,0.00360,4.65485e+01,4.64787e+01,4.65525e+01,4.65133e+01,9.93014e-06,1.10952e-05,9.86495e-06,1.05174e-05
