HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
35.0,35.0813,0.00435,3.70802e+01,3.70803e+01,3.70804e+01,3.70803e+01,1.80900e-08,1.62721e-08,1.53681e-08,1.61164e-08
35.5,35.585,0.00290,3.75842e+01,3.75842e+01,3.75843e+01,3.75843e+01,1.35120e-08,1.25335e-08,1.19772e-08,1.19441e-08
36.0,36.0877,0.00220,3.80870e+01,3.80871e+01,3.80871e+01,3.80871e+01,1.10567e-08,1.08017e-08,9.20561e-09,1.01808e-08
36.5,36.5907,0.00270,3.85901e+01,3.85902e+01,3.85901e+01,3.85900e+01,1.02868e-08,8.64267e-09,1.02189e-08,1.13812e-08
37.0,37.0935,0.00225,3.90924e+01,3.90925e+01,3.90925e+01,3.90925e+01,1.78532e-08,1.63168e-08,1.67804e-08,1.70883e-08
37.5,37.5962,0.00225,3.95936e+01,3.95934e+01,3.95934e+01,3.95938e+01,4.31422e-08,4.59386e-08,4.66572e-08,4.02116e-08
38.0,38.0992,0.00200,4.00940e+01,4.00933e+01,4.00937e+01,4.00941e+01,8.60939e-08,9.81804e-08,9.15279e-08,8.55807e-08
38.5,38.6031,0.00280,4.05942e+01,4.05933e+01,4.05938e+01,4.05945e+01,1.47728e-07,1.63545e-07,1.54331e-07,1.42856e-07
39.0,39.1064,0.00320,4.10928e+01,4.10912e+01,4.10922e+01,4.10932e+01,2.26403e-07,2.53754e-07,2.36533e-07,2.20219e-07
39.5,39.6092,0.00275,4.15895e+01,4.15874e+01,4.15888e+01,4.15899e+01,3.28165e-07,3.64120e-07,3.40675e-07,3.21201e-07
40.0,40.1122,0.00260,4.20849e+01,4.20817e+01,4.20842e+01,4.20853e+01,4.54765e-07,5.09039e-07,4.66574e-07,4.48071e-07
40.5,40.6156,0.00300,4.25784e+01,4.25737e+01,4.25777e+01,4.25788e+01,6.19796e-07,6.98671e-07,6.32342e-07,6.13151e-07
41.0,41.1193,0.00355,4.30687e+01,4.30632e+01,4.30682e+01,4.30694e+01,8.42722e-07,9.35530e-07,8.51116e-07,8.32073e-07
41.5,41.6229,0.00335,4.35554e+01,4.35478e+01,4.35556e+01,4.35564e+01,1.12522e-06,1.25195e-06,1.12186e-06,1.10925e-06
42.0,42.1243,0.00155,4.40342e+01,4.40247e+01,4.40346e+01,4.40352e+01,1.50160e-06,1.66030e-06,1.49472e-06,1.48547e-06
42.5,42.6276,0.00225,4.45077e+01,4.44945e+01,4.45079e+01,4.45069e+01,1.99849e-06,2.21970e-06,1.99540e-06,2.01190e-06
43.0,43.1312,0.00290,4.49708e+01,4.49513e+01,4.49708e+01,4.49682e+01,2.67419e-06,2.99902e-06,2.67384e-06,2.71662e-06
43.5,43.6326,0.00100,4.54151e+01,4.53875e+01,4.54153e+01,4.54089e+01,3.62611e-06,4.08578e-06,3.62276e-06,3.72859e-06
44.0,44.1358,0.00245,4.58342e+01,4.57980e+01,4.58346e+01,4.58209e+01,5.02802e-06,5.63096e-06,5.02177e-06,5.24988e-06
44.5,44.6393,0.00325,4.62144e+01,4.61653e+01,4.62205e+01,4.61934e+01,7.08285e-06,7.90259e-06,6.98226e-06,7.43286e-06
45.0,45.1427,0.00310,4.65497e+01,4.64780e+01,4.65567e+01,4.65095e+01,9.88624e-06,1.10819e-05,9.76968e-06,1.05559e-05
