Ch 	 mean(nA) 	 sd(nA) 
1	23.63722	3.491845563849836
2	23.840880000000002	3.642757793455088
3	26.831030000000002	2.5675434615168204
4	24.205440000000007	4.262906327117426
5	21.347390000000004	4.280055446019362
6	21.35436	2.3979247524103466
7	22.88421	3.9368188473125802
8	21.9802	3.5674855169058968
9	23.48621	2.2913048405027014
10	22.6597	1.992514049023382
11	24.40413	3.918562947206823
12	24.094189999999998	4.547931207935219
13	18.832079999999998	5.0976171441610285
14	19.90994	4.415840986770747
15	23.023279999999996	3.190359119388704
16	23.541839999999997	3.429450341834841
