HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
35.0,34.8752,0.00365,3.68743e+01,3.68743e+01,3.68743e+01,3.68743e+01,1.49856e-08,1.47704e-08,1.52604e-08,1.56081e-08
35.5,35.3769,0.00095,3.73762e+01,3.73763e+01,3.73763e+01,3.73761e+01,1.22537e-08,9.39435e-09,9.84139e-09,1.33763e-08
36.0,35.8796,0.00155,3.78790e+01,3.78789e+01,3.78790e+01,3.78789e+01,1.01940e-08,1.12189e-08,1.05285e-08,1.17057e-08
36.5,36.3818,0.00125,3.83814e+01,3.83814e+01,3.83811e+01,3.83812e+01,7.11448e-09,7.34296e-09,1.09043e-08,9.83642e-09
37.0,36.8832,0.00110,3.88826e+01,3.88825e+01,3.88826e+01,3.88825e+01,1.06527e-08,1.20716e-08,1.02106e-08,1.09871e-08
37.5,37.3843,0.00040,3.93824e+01,3.93825e+01,3.93825e+01,3.93823e+01,3.15855e-08,2.97311e-08,3.04249e-08,3.30591e-08
38.0,37.8869,0.00150,3.98824e+01,3.98831e+01,3.98830e+01,3.98828e+01,7.55522e-08,6.26925e-08,6.56231e-08,6.83152e-08
38.5,38.3879,0.00075,4.03804e+01,4.03808e+01,4.03811e+01,4.03805e+01,1.25777e-07,1.17757e-07,1.13873e-07,1.23738e-07
39.0,38.8905,0.00145,4.08779e+01,4.08790e+01,4.08792e+01,4.08787e+01,2.10350e-07,1.90995e-07,1.87784e-07,1.95980e-07
39.5,39.3924,0.00065,4.13740e+01,4.13758e+01,4.13760e+01,4.13753e+01,3.06765e-07,2.76123e-07,2.73529e-07,2.85751e-07
40.0,39.8944,0.00145,4.18685e+01,4.18708e+01,4.18717e+01,4.18706e+01,4.32163e-07,3.93470e-07,3.79139e-07,3.95997e-07
40.5,40.3968,0.00230,4.23612e+01,4.23652e+01,4.23656e+01,4.23635e+01,5.92722e-07,5.26521e-07,5.20592e-07,5.54908e-07
41.0,40.8978,0.00120,4.28491e+01,4.28549e+01,4.28552e+01,4.28530e+01,8.12453e-07,7.15541e-07,7.09669e-07,7.47273e-07
41.5,41.3996,0.00080,4.33351e+01,4.33419e+01,4.33425e+01,4.33409e+01,1.07598e-06,9.61847e-07,9.52244e-07,9.78576e-07
42.0,41.9011,0.00045,4.38146e+01,4.38238e+01,4.38241e+01,4.38227e+01,1.44274e-06,1.28834e-06,1.28302e-06,1.30753e-06
42.5,42.4028,0.00090,4.42883e+01,4.43004e+01,4.43003e+01,4.42986e+01,1.90867e-06,1.70725e-06,1.70922e-06,1.73748e-06
43.0,42.9052,0.00105,4.47516e+01,4.47667e+01,4.47654e+01,4.47668e+01,2.56139e-06,2.30840e-06,2.33102e-06,2.30779e-06
43.5,43.4054,0.00000,4.51959e+01,4.52190e+01,4.52127e+01,4.52187e+01,3.49191e-06,3.10770e-06,3.21220e-06,3.11243e-06
44.0,43.9062,0.00100,4.56159e+01,4.56494e+01,4.56412e+01,4.56496e+01,4.83985e-06,4.28160e-06,4.41745e-06,4.27749e-06
44.5,44.4083,0.00125,4.60069e+01,4.60507e+01,4.60379e+01,4.60472e+01,6.69196e-06,5.96155e-06,6.17502e-06,6.02007e-06
45.0,44.9098,0.00125,4.63429e+01,4.64057e+01,4.63747e+01,4.64064e+01,9.45062e-06,8.40360e-06,8.92029e-06,8.39214e-06
