Ch 	 mean(nA) 	 sd(nA) 
1	12.592476999999999	2.5530819082828335
2	13.487533999999998	3.7094203711697182
3	11.938804	3.144482120817
4	12.283533	2.925487045885788
5	11.202687999999998	2.816755842879456
6	13.070310000000001	2.981545237866507
7	12.158351000000001	3.175162759861296
8	13.089178999999998	4.301683300136897
9	8.326766000000001	3.3132835707939843
10	9.859594000000001	4.268732426442304
11	7.3959459999999995	3.021973170022821
12	9.546678	3.0078075123429464
13	10.960299	2.2477956862987645
14	12.646115000000004	3.5247197989540804
15	12.242811000000001	3.3874284643876
16	11.555361999999999	3.2421937285657547
