HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
37.0,37.111,0.00115,3.91103e+01,3.91102e+01,3.91098e+01,3.91104e+01,1.20898e-08,1.38382e-08,1.93616e-08,9.43740e-09
37.0,37.1131,0.00025,3.91123e+01,3.91123e+01,3.91123e+01,3.91123e+01,1.30037e-08,1.38382e-08,1.35303e-08,1.25865e-08
37.0,37.1137,0.00020,3.91129e+01,3.91130e+01,3.91132e+01,3.91134e+01,1.36793e-08,1.12255e-08,9.00030e-09,4.92732e-09
37.0,37.1139,0.00025,3.91133e+01,3.91129e+01,3.91130e+01,3.91134e+01,1.05202e-08,1.62125e-08,1.46131e-08,9.00030e-09
37.0,37.1134,-0.00055,3.91127e+01,3.91125e+01,3.91128e+01,3.91124e+01,1.17421e-08,1.53780e-08,9.63608e-09,1.60138e-08
37.0,37.1151,0.00105,3.91143e+01,3.91144e+01,3.91142e+01,3.91142e+01,1.30137e-08,1.11858e-08,1.50303e-08,1.42952e-08
37.0,37.1138,-0.00030,3.91133e+01,3.91131e+01,3.91133e+01,3.91131e+01,7.72874e-09,1.17918e-08,8.48373e-09,1.11163e-08
37.0,37.1149,0.00110,3.91144e+01,3.91146e+01,3.91143e+01,3.91141e+01,7.96715e-09,4.50015e-09,1.01527e-08,1.35303e-08
37.0,37.1141,-0.00015,3.91136e+01,3.91131e+01,3.91134e+01,3.91135e+01,8.18570e-09,1.67390e-08,1.12951e-08,1.05997e-08
37.0,37.1144,0.00030,3.91137e+01,3.91137e+01,3.91137e+01,3.91136e+01,1.16726e-08,1.17520e-08,1.13249e-08,1.40468e-08
