HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
37.5,37.5036,0.00245,3.95019e+01,3.95018e+01,3.95021e+01,3.95017e+01,2.76665e-08,3.02295e-08,2.54412e-08,3.08951e-08
37.5,37.5054,0.00070,3.95039e+01,3.95037e+01,3.95039e+01,3.95036e+01,2.50340e-08,2.84115e-08,2.54611e-08,3.01699e-08
37.5,37.5053,-0.00010,3.95037e+01,3.95036e+01,3.95038e+01,3.95038e+01,2.60770e-08,2.76963e-08,2.50340e-08,2.56300e-08
37.5,37.5069,0.00055,3.95053e+01,3.95053e+01,3.95055e+01,3.95053e+01,2.70903e-08,2.67625e-08,2.31862e-08,2.64545e-08
37.5,37.5075,0.00090,3.95062e+01,3.95057e+01,3.95060e+01,3.95059e+01,2.20040e-08,3.02394e-08,2.56101e-08,2.71400e-08
37.5,37.5074,-0.00005,3.95061e+01,3.95058e+01,3.95060e+01,3.95057e+01,2.23319e-08,2.69810e-08,2.37723e-08,2.88685e-08
37.5,37.5072,-0.00080,3.95058e+01,3.95057e+01,3.95056e+01,3.95055e+01,2.39611e-08,2.53320e-08,2.72493e-08,2.90771e-08
37.5,37.5076,-0.00055,3.95062e+01,3.95062e+01,3.95060e+01,3.95061e+01,2.39511e-08,2.36233e-08,2.67724e-08,2.47657e-08
37.5,37.5088,0.00095,3.95076e+01,3.95070e+01,3.95073e+01,3.95071e+01,1.99278e-08,3.04679e-08,2.47359e-08,2.81632e-08
37.5,37.5086,-0.00010,3.95070e+01,3.95069e+01,3.95071e+01,3.95069e+01,2.62856e-08,2.75671e-08,2.54512e-08,2.85407e-08
