Ch 	 mean(nA) 	 sd(nA) 
1	25.259439999999998	1.9421817675547832
2	28.655929999999998	2.375582552671145
3	25.566430000000004	2.1337486189802206
4	27.229379999999995	3.1738291191135874
5	24.432929999999995	2.4738462118957822
6	27.73105	2.227236316479337
7	25.27137	1.2163438896499996
8	27.97047	1.9584728727874803
9	23.33224	2.8054969063528756
10	29.324479999999998	5.620283158702947
11	25.60416	5.240837108537358
12	27.677419999999994	5.215120558700228
13	23.304420000000004	3.5655746751400392
14	26.75553	5.9014921941733425
15	25.62106	2.2528256633244697
16	27.385349999999995	3.7107731956351686
