HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
35.0,34.9993,0.00450,3.69991e+01,3.69987e+01,3.69991e+01,3.69991e+01,3.31965e-09,9.61456e-09,4.06471e-09,3.64913e-09
35.5,35.5031,0.00365,3.75029e+01,3.75029e+01,3.75029e+01,3.75031e+01,3.76006e-09,3.51502e-09,4.02166e-09,-3.84119e-10
36.0,36.0052,0.00210,3.80052e+01,3.80053e+01,3.80051e+01,3.80052e+01,-7.64926e-10,-2.07954e-09,1.23349e-09,7.18567e-10
36.5,36.5075,0.00165,3.85072e+01,3.85074e+01,3.85076e+01,3.85075e+01,5.02004e-09,1.53648e-09,-1.57290e-09,8.29498e-10
37.0,37.011,0.00330,3.90109e+01,3.90109e+01,3.90105e+01,3.90108e+01,2.30306e-09,2.26663e-09,8.25690e-09,2.96036e-09
37.5,37.5138,0.00285,3.95122e+01,3.95125e+01,3.95124e+01,3.95122e+01,2.73569e-08,2.10156e-08,2.27160e-08,2.68618e-08
38.0,38.0156,0.00170,4.00124e+01,4.00124e+01,4.00119e+01,4.00124e+01,5.27766e-08,5.41194e-08,6.19855e-08,5.29620e-08
38.5,38.5186,0.00200,4.05127e+01,4.05131e+01,4.05125e+01,4.05131e+01,9.88709e-08,9.21273e-08,1.01803e-07,9.17845e-08
39.0,39.021,0.00195,4.10117e+01,4.10124e+01,4.10113e+01,4.10123e+01,1.55136e-07,1.43106e-07,1.61272e-07,1.45011e-07
39.5,39.5233,0.00205,4.15100e+01,4.15108e+01,4.15086e+01,4.15104e+01,2.21804e-07,2.09201e-07,2.44689e-07,2.14327e-07
40.0,40.0261,0.00185,4.20074e+01,4.20081e+01,4.20058e+01,4.20082e+01,3.12505e-07,2.99426e-07,3.38084e-07,2.98497e-07
40.5,40.5289,0.00265,4.25030e+01,4.25046e+01,4.25003e+01,4.25040e+01,4.31673e-07,4.05436e-07,4.76562e-07,4.15883e-07
41.0,41.0314,0.00190,4.29969e+01,4.29984e+01,4.29927e+01,4.29975e+01,5.74955e-07,5.50691e-07,6.45661e-07,5.65827e-07
41.5,41.5348,0.00195,4.34882e+01,4.34893e+01,4.34832e+01,4.34890e+01,7.77566e-07,7.58156e-07,8.59466e-07,7.63251e-07
42.0,42.0369,0.00105,4.39742e+01,4.39752e+01,4.39674e+01,4.39749e+01,1.04576e-06,1.02931e-06,1.15922e-06,1.03330e-06
42.5,42.5373,0.00155,4.44529e+01,4.44519e+01,4.44421e+01,4.44542e+01,1.40775e-06,1.42406e-06,1.58637e-06,1.38591e-06
43.0,43.0409,0.00215,4.49244e+01,4.49226e+01,4.49120e+01,4.49271e+01,1.94265e-06,1.97275e-06,2.14833e-06,1.89714e-06
43.5,43.5416,0.00025,4.53810e+01,4.53754e+01,4.53614e+01,4.53857e+01,2.67659e-06,2.77113e-06,3.00426e-06,2.59977e-06
44.0,44.0434,0.00155,4.58151e+01,4.58023e+01,4.57874e+01,4.58208e+01,3.80546e-06,4.01936e-06,4.26733e-06,3.71145e-06
44.5,44.546,0.00080,4.62141e+01,4.61870e+01,4.61722e+01,4.62220e+01,5.53275e-06,5.98533e-06,6.23207e-06,5.40142e-06
45.0,45.0482,0.00130,4.65546e+01,4.65091e+01,4.64957e+01,4.65690e+01,8.22940e-06,8.98790e-06,9.21113e-06,7.98824e-06
