HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
35.0,35.0012,0.00400,3.70010e+01,3.70009e+01,3.70009e+01,3.70012e+01,3.61933e-09,4.33955e-09,4.49518e-09,5.13262e-11
35.5,35.5048,0.00250,3.75047e+01,3.75048e+01,3.75045e+01,3.75047e+01,1.76993e-09,-5.06639e-10,4.77334e-09,1.78317e-09
36.0,36.0082,0.00175,3.80079e+01,3.80078e+01,3.80081e+01,3.80080e+01,4.34783e-09,7.15918e-09,9.05659e-10,3.23355e-09
36.5,36.5118,0.00275,3.85116e+01,3.85116e+01,3.85116e+01,3.85114e+01,3.36932e-09,3.51502e-09,3.54648e-09,7.40257e-09
37.0,37.0144,0.00210,3.90135e+01,3.90140e+01,3.90140e+01,3.90143e+01,1.47720e-08,7.06812e-09,6.05815e-09,1.00169e-09
37.5,37.5154,0.00080,3.95136e+01,3.95138e+01,3.95137e+01,3.95139e+01,2.98437e-08,2.63734e-08,2.75754e-08,2.55737e-08
38.0,38.0197,0.00295,4.00161e+01,4.00161e+01,4.00156e+01,4.00164e+01,5.94921e-08,5.99623e-08,6.80983e-08,5.42021e-08
38.5,38.5228,0.00270,4.05166e+01,4.05168e+01,4.05167e+01,4.05172e+01,1.03626e-07,9.95563e-08,1.01555e-07,9.38690e-08
39.0,39.0245,0.00130,4.10150e+01,4.10161e+01,4.10144e+01,4.10157e+01,1.57815e-07,1.39789e-07,1.67683e-07,1.46909e-07
39.5,39.5284,0.00285,4.15149e+01,4.15155e+01,4.15137e+01,4.15152e+01,2.25438e-07,2.15565e-07,2.44644e-07,2.19266e-07
40.0,40.0316,0.00215,4.20131e+01,4.20134e+01,4.20110e+01,4.20136e+01,3.09217e-07,3.03030e-07,3.43215e-07,3.00782e-07
40.5,40.5324,0.00085,4.25068e+01,4.25074e+01,4.25042e+01,4.25073e+01,4.26488e-07,4.17492e-07,4.70332e-07,4.17706e-07
41.0,41.0363,0.00330,4.30015e+01,4.30019e+01,4.29983e+01,4.30026e+01,5.80018e-07,5.73109e-07,6.33443e-07,5.61310e-07
41.5,41.5403,0.00360,4.34931e+01,4.34946e+01,4.34885e+01,4.34938e+01,7.86853e-07,7.61736e-07,8.63150e-07,7.74756e-07
42.0,42.0415,0.00200,4.39791e+01,4.39795e+01,4.39711e+01,4.39796e+01,1.04034e-06,1.03380e-06,1.17329e-06,1.03236e-06
42.5,42.5429,0.00070,4.44581e+01,4.44586e+01,4.44484e+01,4.44599e+01,1.41434e-06,1.40539e-06,1.57592e-06,1.38316e-06
43.0,43.0394,0.00120,4.49242e+01,4.49222e+01,4.49103e+01,4.49258e+01,1.92083e-06,1.95401e-06,2.15294e-06,1.89304e-06
43.5,43.542,0.00050,4.53803e+01,4.53774e+01,4.53611e+01,4.53859e+01,2.69569e-06,2.74468e-06,3.01546e-06,2.60180e-06
44.0,44.0437,0.00075,4.58154e+01,4.58004e+01,4.57880e+01,4.58220e+01,3.80674e-06,4.05570e-06,4.26237e-06,3.69595e-06
44.5,44.547,0.00305,4.62140e+01,4.61884e+01,4.61716e+01,4.62254e+01,5.55083e-06,5.97766e-06,6.25874e-06,5.36198e-06
45.0,45.0478,0.00255,4.65521e+01,4.65106e+01,4.64984e+01,4.65698e+01,8.26377e-06,8.95629e-06,9.15889e-06,7.96925e-06
