HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
37.5,37.4923,0.00270,3.94906e+01,3.94904e+01,3.94906e+01,3.94903e+01,2.90473e-08,3.14911e-08,2.83420e-08,3.37561e-08
37.5,37.4946,0.00120,3.94929e+01,3.94928e+01,3.94929e+01,3.94928e+01,2.80241e-08,3.06070e-08,2.87195e-08,3.05772e-08
37.5,37.4951,0.00005,3.94935e+01,3.94933e+01,3.94937e+01,3.94935e+01,2.59578e-08,3.05374e-08,2.38419e-08,2.67227e-08
37.5,37.4957,0.00065,3.94943e+01,3.94940e+01,3.94941e+01,3.94940e+01,2.39412e-08,2.82725e-08,2.61366e-08,2.90275e-08
37.5,37.4986,0.00115,3.94972e+01,3.94967e+01,3.94972e+01,3.94971e+01,2.41697e-08,3.12924e-08,2.34644e-08,2.44478e-08
37.5,37.4996,0.00075,3.94982e+01,3.94978e+01,3.94979e+01,3.94979e+01,2.33352e-08,2.93354e-08,2.80142e-08,2.75075e-08
37.5,37.5002,0.00060,3.94987e+01,3.94987e+01,3.94988e+01,3.94987e+01,2.45372e-08,2.51532e-08,2.30273e-08,2.48651e-08
37.5,37.5008,0.00055,3.94994e+01,3.94992e+01,3.94994e+01,3.94994e+01,2.34445e-08,2.69115e-08,2.40107e-08,2.35438e-08
37.5,37.5017,0.00005,3.95002e+01,3.95002e+01,3.95002e+01,3.95001e+01,2.57591e-08,2.52426e-08,2.47161e-08,2.71400e-08
37.5,37.5021,0.00065,3.95006e+01,3.95004e+01,3.95006e+01,3.95006e+01,2.43783e-08,2.77162e-08,2.53916e-08,2.47061e-08
