Ch 	 mean(nA) 	 sd(nA) 
1	23.57761	2.605929813350911
2	25.22966	2.0298862131218645
3	22.63288	3.400671897924487
4	24.08623	2.5095609598537796
5	19.56721	2.103809203141346
6	20.853669999999997	2.2659360023570345
7	18.85792	1.8849787560252946
8	20.41362	2.6139301915357693
9	18.13173	2.6703025746366484
10	21.179520000000004	2.300879213015949
11	19.899	2.2856174089291494
12	21.07323	2.0577797064095833
13	18.557909999999996	1.8837493832189514
14	20.745410000000003	2.6204190430158305
15	18.365209999999998	2.628992046583633
16	20.601339999999997	2.294038178118809
