HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
37.5,37.3128,0.00235,3.93111e+01,3.93111e+01,3.93113e+01,3.93111e+01,2.86301e-08,2.76764e-08,2.56797e-08,2.87692e-08
37.5,37.313,-0.00065,3.93116e+01,3.93116e+01,3.93117e+01,3.93119e+01,2.38220e-08,2.29478e-08,2.16365e-08,1.77125e-08
37.5,37.3144,0.00005,3.93131e+01,3.93131e+01,3.93129e+01,3.93135e+01,2.23219e-08,2.12789e-08,2.45770e-08,1.45634e-08
37.5,37.314,0.00005,3.93131e+01,3.93127e+01,3.93126e+01,3.93127e+01,1.56065e-08,2.09212e-08,2.36432e-08,2.22127e-08
37.5,37.3137,-0.00105,3.93125e+01,3.93124e+01,3.93121e+01,3.93123e+01,1.94609e-08,2.15967e-08,2.69413e-08,2.31663e-08
37.5,37.3154,0.00080,3.93139e+01,3.93139e+01,3.93145e+01,3.93140e+01,2.43783e-08,2.44677e-08,1.42952e-08,2.35736e-08
37.5,37.3151,0.00010,3.93139e+01,3.93142e+01,3.93137e+01,3.93132e+01,1.98185e-08,1.58250e-08,2.25802e-08,3.16302e-08
37.5,37.3148,-0.00030,3.93135e+01,3.93132e+01,3.93137e+01,3.93134e+01,2.14279e-08,2.64943e-08,1.85172e-08,2.41498e-08
37.5,37.3151,-0.00035,3.93140e+01,3.93136e+01,3.93142e+01,3.93140e+01,1.78516e-08,2.45571e-08,1.54177e-08,1.90934e-08
37.5,37.3153,-0.00020,3.93142e+01,3.93138e+01,3.93140e+01,3.93140e+01,1.79410e-08,2.47757e-08,2.13385e-08,2.13087e-08
