Ch 	 mean(nA) 	 sd(nA) 
1	20.470230000000004	4.648801810275657
2	23.7286	3.8937821293841166
3	22.59116	2.665806348805804
4	23.19913	2.55077327362595
5	21.12587	3.822326563480532
6	23.054080000000003	3.3750327168126173
7	21.46265	4.218176034272528
8	22.61798	5.009536205145807
9	18.46055	3.2650299468594293
10	20.95102	3.5126278794594157
11	17.949939999999998	3.146900576828642
12	20.909319999999997	4.43129686856267
13	21.36131	1.628592014560089
14	23.204090000000004	4.191484144323001
15	20.51592	1.5059822241831264
16	22.50671	2.127657471623558
