HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
35.0,35.0409,-0.00240,3.70407e+01,3.70406e+01,3.70405e+01,3.70406e+01,4.16736e-09,5.33627e-09,6.84957e-09,5.33958e-09
35.5,35.5403,-0.00215,3.75402e+01,3.75399e+01,3.75401e+01,3.75400e+01,1.25832e-09,6.06312e-09,4.04484e-09,4.47532e-09
36.0,36.0367,-0.00330,3.80364e+01,3.80365e+01,3.80366e+01,3.80365e+01,4.33458e-09,3.03321e-09,2.03980e-09,3.00010e-09
36.5,36.5331,-0.00310,3.85330e+01,3.85328e+01,3.85331e+01,3.85331e+01,1.00500e-09,5.82967e-09,5.62933e-11,6.17570e-10
37.0,37.031,-0.00250,3.90306e+01,3.90306e+01,3.90305e+01,3.90308e+01,7.27177e-09,6.57472e-09,9.07315e-09,3.42064e-09
37.5,37.5289,-0.00350,3.95272e+01,3.95267e+01,3.95270e+01,3.95268e+01,2.90953e-08,3.61055e-08,3.11087e-08,3.44382e-08
38.0,38.0258,-0.00360,4.00214e+01,4.00208e+01,4.00214e+01,4.00212e+01,7.34048e-08,8.26865e-08,7.30422e-08,7.68950e-08
38.5,38.5222,-0.00390,4.05145e+01,4.05138e+01,4.05145e+01,4.05140e+01,1.28123e-07,1.39809e-07,1.28676e-07,1.37481e-07
39.0,39.02,-0.00300,4.10077e+01,4.10064e+01,4.10081e+01,4.10072e+01,2.05856e-07,2.26191e-07,1.97560e-07,2.13810e-07
39.5,39.5179,-0.00310,4.14999e+01,4.14976e+01,4.15003e+01,4.14990e+01,3.00893e-07,3.37693e-07,2.93997e-07,3.14608e-07
40.0,40.0146,-0.00305,4.19891e+01,4.19859e+01,4.19897e+01,4.19886e+01,4.24359e-07,4.77758e-07,4.15454e-07,4.32698e-07
40.5,40.5107,-0.00390,4.24754e+01,4.24717e+01,4.24765e+01,4.24751e+01,5.87738e-07,6.50426e-07,5.70108e-07,5.93224e-07
41.0,41.0089,-0.00270,4.29617e+01,4.29563e+01,4.29627e+01,4.29611e+01,7.86553e-07,8.76887e-07,7.69458e-07,7.97609e-07
41.5,41.5055,-0.00325,4.34431e+01,4.34358e+01,4.34429e+01,4.34429e+01,1.03953e-06,1.16249e-06,1.04295e-06,1.04423e-06
42.0,42.0039,-0.00235,4.39201e+01,4.39104e+01,4.39205e+01,4.39205e+01,1.39669e-06,1.55801e-06,1.39026e-06,1.39002e-06
42.5,42.501,-0.00285,4.43915e+01,4.43787e+01,4.43898e+01,4.43911e+01,1.82623e-06,2.03870e-06,1.85438e-06,1.83195e-06
43.0,42.9977,-0.00335,4.48485e+01,4.48322e+01,4.48482e+01,4.48490e+01,2.48756e-06,2.75895e-06,2.49214e-06,2.47878e-06
43.5,43.4927,-0.00575,4.52926e+01,4.52686e+01,4.52889e+01,4.52933e+01,3.33637e-06,3.73569e-06,3.39772e-06,3.32453e-06
44.0,43.991,-0.00275,4.57174e+01,4.56841e+01,4.57089e+01,4.57206e+01,4.56085e-06,5.11690e-06,4.70338e-06,4.50768e-06
44.5,44.4881,-0.00370,4.61092e+01,4.60596e+01,4.60952e+01,4.61128e+01,6.31709e-06,7.14422e-06,6.54934e-06,6.25595e-06
45.0,44.9851,-0.00305,4.64483e+01,4.63902e+01,4.64270e+01,4.64596e+01,8.94868e-06,9.91818e-06,9.30482e-06,8.75974e-06
