HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,35.0411,-0.00160,3.70407e+01,3.70409e+01,3.70408e+01,3.70406e+01,6.75023e-09,2.89910e-09,5.73860e-09,8.27511e-09
35.5,35.5384,-0.00325,3.75378e+01,3.75382e+01,3.75379e+01,3.75382e+01,9.23210e-09,3.86106e-09,7.67410e-09,4.10610e-09
36.0,36.0355,-0.00360,3.80351e+01,3.80353e+01,3.80354e+01,3.80352e+01,6.04822e-09,4.08789e-09,1.75171e-09,5.72536e-09
36.5,36.5331,-0.00370,3.85328e+01,3.85332e+01,3.85326e+01,3.85328e+01,4.86771e-09,-1.98351e-09,8.99202e-09,5.79490e-09
37.0,37.0307,-0.00345,3.90301e+01,3.90302e+01,3.90302e+01,3.90301e+01,1.05070e-08,8.77347e-09,8.87447e-09,9.82649e-09
37.5,37.528,-0.00350,3.95260e+01,3.95259e+01,3.95259e+01,3.95258e+01,3.28521e-08,3.48058e-08,3.57777e-08,3.67562e-08
38.0,38.0251,-0.00295,4.00205e+01,4.00201e+01,4.00207e+01,4.00204e+01,7.68138e-08,8.33256e-08,7.40505e-08,7.85887e-08
38.5,38.5222,-0.00340,4.05141e+01,4.05136e+01,4.05145e+01,4.05139e+01,1.34688e-07,1.43839e-07,1.29140e-07,1.38301e-07
39.0,39.0203,-0.00280,4.10080e+01,4.10064e+01,4.10081e+01,4.10073e+01,2.05098e-07,2.31953e-07,2.03510e-07,2.17183e-07
39.5,39.5167,-0.00320,4.14986e+01,4.14962e+01,4.14987e+01,4.14979e+01,3.02507e-07,3.41098e-07,3.00303e-07,3.13737e-07
40.0,40.0149,-0.00210,4.19895e+01,4.19864e+01,4.19896e+01,4.19885e+01,4.22695e-07,4.74887e-07,4.22123e-07,4.40473e-07
40.5,40.5116,-0.00315,4.24764e+01,4.24721e+01,4.24775e+01,4.24764e+01,5.86900e-07,6.57732e-07,5.68539e-07,5.87232e-07
41.0,41.0084,-0.00250,4.29613e+01,4.29554e+01,4.29625e+01,4.29608e+01,7.84672e-07,8.83046e-07,7.65168e-07,7.93864e-07
41.5,41.5051,-0.00410,4.34421e+01,4.34348e+01,4.34429e+01,4.34423e+01,1.04999e-06,1.17154e-06,1.03768e-06,1.04721e-06
42.0,42.0028,-0.00315,4.39198e+01,4.39096e+01,4.39202e+01,4.39185e+01,1.38296e-06,1.55297e-06,1.37671e-06,1.40556e-06
42.5,42.4999,-0.00315,4.43898e+01,4.43768e+01,4.43885e+01,4.43893e+01,1.83481e-06,2.05154e-06,1.85684e-06,1.84419e-06
43.0,42.9959,-0.00435,4.48487e+01,4.48300e+01,4.48465e+01,4.48484e+01,2.45431e-06,2.76570e-06,2.49003e-06,2.45937e-06
43.5,43.4929,-0.00495,4.52936e+01,4.52667e+01,4.52882e+01,4.52920e+01,3.32323e-06,3.77168e-06,3.41281e-06,3.34882e-06
44.0,43.9896,-0.00385,4.57190e+01,4.56817e+01,4.57077e+01,4.57182e+01,4.51157e-06,5.13293e-06,4.69990e-06,4.52457e-06
44.5,44.4857,-0.00455,4.61067e+01,4.60588e+01,4.60893e+01,4.61073e+01,6.31847e-06,7.11615e-06,6.60779e-06,6.30748e-06
45.0,44.9839,-0.00300,4.64519e+01,4.63867e+01,4.64202e+01,4.64577e+01,8.86887e-06,9.95586e-06,9.39806e-06,8.77292e-06
