Ch 	 mean(nA) 	 sd(nA) 
1	12.249744999999999	2.8386302464050432
2	12.477234000000001	2.43341559082519
3	10.506304	3.1104507703625357
4	12.55374	2.4686030553511205
5	9.494026	2.3078990494396514
6	11.544423000000002	2.989925746227934
7	10.131792000000003	1.9453649663112345
8	8.960565	3.9774172523671414
9	8.615847	2.9781999536075108
10	9.300308	2.6358198866083393
11	9.456264000000001	1.534598693000877
12	8.897977000000001	2.7313182527288906
13	9.614219	2.2631703104001404
14	8.520478	3.0039386787675206
15	8.805596	3.3104720179562177
16	9.479134	2.21274053638971
