Ch 	 mean(nA) 	 sd(nA) 
1	17.646931	4.966351153361881
2	18.788367	4.102686819905138
3	20.85468	3.8936977020707593
4	19.348660000000002	3.5951874697526787
5	14.474001	3.425549198726956
6	15.266733999999998	5.291934920974243
7	17.574427000000004	5.871538268301967
8	17.34595	2.6504050928322465
9	11.87425	5.598557844617963
10	15.784302999999998	5.126478541052111
11	14.828629999999999	3.497903623299088
12	16.75189	4.634882036003361
13	16.146895999999998	5.561844591394717
14	15.083953	5.357777067586582
15	17.961850000000002	3.35787043799092
16	13.027584999999998	3.0731625138762904
