HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
35.0,34.6851,-0.00110,3.66848e+01,3.66848e+01,3.66850e+01,3.66849e+01,4.66075e-09,4.33789e-09,1.53151e-09,3.72860e-09
35.5,35.1839,-0.00195,3.71841e+01,3.71838e+01,3.71839e+01,3.71841e+01,-2.85274e-09,1.16395e-09,7.54992e-10,-3.66403e-09
36.0,35.6816,-0.00250,3.76811e+01,3.76810e+01,3.76817e+01,3.76814e+01,7.53336e-09,9.17912e-09,-1.45535e-09,3.34779e-09
36.5,36.1795,-0.00340,3.81792e+01,3.81795e+01,3.81791e+01,3.81793e+01,5.70383e-09,-1.55634e-10,6.94725e-09,2.52326e-09
37.0,36.6786,-0.00155,3.86786e+01,3.86785e+01,3.86787e+01,3.86785e+01,6.95388e-11,1.83781e-09,-2.21199e-09,2.06961e-09
37.5,37.1756,-0.00295,3.91743e+01,3.91749e+01,3.91746e+01,3.91744e+01,2.21961e-08,1.15583e-08,1.67357e-08,2.07838e-08
38.0,37.6735,-0.00275,3.96703e+01,3.96702e+01,3.96709e+01,3.96704e+01,5.33958e-08,5.57817e-08,4.37217e-08,5.22766e-08
38.5,38.1725,-0.00185,4.01665e+01,4.01667e+01,4.01667e+01,4.01660e+01,9.92401e-08,9.74139e-08,9.66754e-08,1.08951e-07
39.0,38.6701,-0.00105,4.06600e+01,4.06606e+01,4.06605e+01,4.06593e+01,1.68679e-07,1.58017e-07,1.60194e-07,1.80316e-07
39.5,39.167,-0.00280,4.11519e+01,4.11530e+01,4.11523e+01,4.11504e+01,2.52489e-07,2.32715e-07,2.44493e-07,2.77160e-07
40.0,39.6651,-0.00310,4.16437e+01,4.16445e+01,4.16439e+01,4.16419e+01,3.57573e-07,3.43632e-07,3.53326e-07,3.86531e-07
40.5,40.1628,-0.00285,4.21332e+01,4.21347e+01,4.21336e+01,4.21302e+01,4.93182e-07,4.68312e-07,4.87013e-07,5.43041e-07
41.0,40.6628,-0.00125,4.26223e+01,4.26238e+01,4.26231e+01,4.26184e+01,6.75049e-07,6.49811e-07,6.62443e-07,7.39819e-07
41.5,41.1608,-0.00150,4.31070e+01,4.31082e+01,4.31075e+01,4.31015e+01,8.96159e-07,8.77066e-07,8.87791e-07,9.88478e-07
42.0,41.6575,-0.00325,4.35869e+01,4.35869e+01,4.35861e+01,4.35787e+01,1.17727e-06,1.17652e-06,1.18972e-06,1.31410e-06
42.5,42.1554,-0.00215,4.40604e+01,4.40610e+01,4.40617e+01,4.40501e+01,1.58376e-06,1.57431e-06,1.56203e-06,1.75575e-06
43.0,42.6535,-0.00265,4.45264e+01,4.45268e+01,4.45276e+01,4.45129e+01,2.11921e-06,2.11184e-06,2.09948e-06,2.34383e-06
43.5,43.1509,-0.00365,4.49785e+01,4.49775e+01,4.49802e+01,4.49587e+01,2.87410e-06,2.89045e-06,2.84603e-06,3.20453e-06
44.0,43.6484,-0.00265,4.54159e+01,4.54086e+01,4.54150e+01,4.53872e+01,3.87608e-06,3.99823e-06,3.89079e-06,4.35450e-06
44.5,44.1453,-0.00385,4.58255e+01,4.58096e+01,4.58255e+01,4.57788e+01,5.33214e-06,5.59644e-06,5.33057e-06,6.10924e-06
45.0,44.6435,-0.00290,4.61951e+01,4.61686e+01,4.61903e+01,4.61332e+01,7.47523e-06,7.91764e-06,7.55528e-06,8.50776e-06
