HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
37.5,37.1923,0.00105,3.91908e+01,3.91908e+01,3.91907e+01,3.91909e+01,2.49942e-08,2.51234e-08,2.69016e-08,2.27392e-08
37.5,37.1935,0.00020,3.91921e+01,3.91922e+01,3.91922e+01,3.91921e+01,2.34743e-08,2.24213e-08,2.19444e-08,2.37723e-08
37.5,37.194,0.00030,3.91931e+01,3.91928e+01,3.91925e+01,3.91928e+01,1.42852e-08,1.92324e-08,2.55207e-08,1.94907e-08
37.5,37.1939,-0.00010,3.91927e+01,3.91928e+01,3.91924e+01,3.91927e+01,1.91728e-08,1.87357e-08,2.48154e-08,2.04047e-08
37.5,37.1934,-0.00070,3.91926e+01,3.91923e+01,3.91921e+01,3.91922e+01,1.29739e-08,1.80105e-08,2.13683e-08,2.00669e-08
37.5,37.1938,-0.00005,3.91928e+01,3.91933e+01,3.91926e+01,3.91925e+01,1.73946e-08,8.99037e-09,1.99080e-08,2.11497e-08
37.5,37.1936,0.00005,3.91923e+01,3.91925e+01,3.91926e+01,3.91925e+01,2.17060e-08,1.78913e-08,1.73748e-08,1.90039e-08
37.5,37.1933,0.00025,3.91922e+01,3.91922e+01,3.91923e+01,3.91922e+01,1.75933e-08,1.88947e-08,1.60336e-08,1.87357e-08
37.5,37.1938,-0.00025,3.91928e+01,3.91926e+01,3.91928e+01,3.91927e+01,1.61628e-08,1.91728e-08,1.74344e-08,1.75238e-08
37.5,37.1942,0.00010,3.91937e+01,3.91930e+01,3.91932e+01,3.91936e+01,8.71221e-09,1.94112e-08,1.72456e-08,1.05997e-08
