HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
37.5,37.3197,0.00165,3.93181e+01,3.93184e+01,3.93182e+01,3.93183e+01,2.61366e-08,2.16067e-08,2.57393e-08,2.38915e-08
37.5,37.3208,0.00110,3.93196e+01,3.93200e+01,3.93199e+01,3.93197e+01,2.04345e-08,1.25567e-08,1.46925e-08,1.78814e-08
37.5,37.3206,0.00095,3.93193e+01,3.93194e+01,3.93193e+01,3.93195e+01,2.21133e-08,2.02954e-08,2.20537e-08,1.82887e-08
37.5,37.3184,-0.00125,3.93178e+01,3.93175e+01,3.93171e+01,3.93175e+01,1.01527e-08,1.57754e-08,2.08716e-08,1.51296e-08
37.5,37.3204,0.00065,3.93190e+01,3.93194e+01,3.93195e+01,3.93194e+01,2.35538e-08,1.66694e-08,1.52687e-08,1.61827e-08
37.5,37.3196,-0.00040,3.93188e+01,3.93188e+01,3.93186e+01,3.93185e+01,1.37389e-08,1.38978e-08,1.61926e-08,1.84178e-08
37.5,37.3195,-0.00005,3.93184e+01,3.93186e+01,3.93183e+01,3.93184e+01,1.89344e-08,1.46925e-08,2.06530e-08,1.90437e-08
37.5,37.3202,0.00010,3.93193e+01,3.93196e+01,3.93192e+01,3.93193e+01,1.51594e-08,1.04805e-08,1.61827e-08,1.52985e-08
37.5,37.3193,-0.00040,3.93183e+01,3.93188e+01,3.93181e+01,3.93182e+01,1.66396e-08,8.98043e-09,2.00967e-08,1.78715e-08
37.5,37.3187,-0.00045,3.93177e+01,3.93175e+01,3.93174e+01,3.93178e+01,1.64906e-08,2.06232e-08,2.16564e-08,1.42654e-08
