Ch 	 mean(nA) 	 sd(nA) 
1	19.221490000000003	4.779277438053674
2	19.196650000000005	3.8459163226148796
3	20.329159999999998	3.834917134321303
4	18.967180000000003	2.9604215817646273
5	18.33538	4.848577826263423
6	15.557803	4.314407943891284
7	19.340719999999997	3.595872392928067
8	17.627080000000003	2.7382879135206606
9	18.748630000000002	2.1095929091493777
10	17.141302000000003	4.545164775993153
11	19.69636	2.9585633331061207
12	16.69924	3.6576742854199336
13	18.309549999999998	3.7737888712804266
14	17.219789999999996	2.6043934433312232
15	20.301349999999996	3.4786240240295525
16	18.15458	2.6363131203338583
