HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
37.5,37.3217,0.00040,3.93201e+01,3.93201e+01,3.93202e+01,3.93204e+01,2.69512e-08,2.61863e-08,2.49048e-08,2.15272e-08
37.5,37.3229,-0.00055,3.93215e+01,3.93216e+01,3.93214e+01,3.93215e+01,2.40306e-08,2.19643e-08,2.55704e-08,2.29180e-08
37.5,37.322,-0.00030,3.93210e+01,3.93208e+01,3.93211e+01,3.93207e+01,1.63714e-08,2.05437e-08,1.56264e-08,2.12391e-08
37.5,37.3224,0.00020,3.93213e+01,3.93216e+01,3.93210e+01,3.93212e+01,1.85569e-08,1.32720e-08,2.31763e-08,2.06629e-08
37.5,37.3229,0.00070,3.93218e+01,3.93216e+01,3.93217e+01,3.93218e+01,1.75436e-08,2.15073e-08,2.08219e-08,1.91430e-08
37.5,37.3219,0.00000,3.93208e+01,3.93208e+01,3.93210e+01,3.93206e+01,1.83284e-08,1.85072e-08,1.55071e-08,2.10404e-08
37.5,37.3218,-0.00020,3.93206e+01,3.93206e+01,3.93206e+01,3.93209e+01,1.97291e-08,2.06530e-08,2.06729e-08,1.42753e-08
37.5,37.3214,-0.00035,3.93200e+01,3.93205e+01,3.93201e+01,3.93204e+01,2.37922e-08,1.46627e-08,2.18749e-08,1.61032e-08
37.5,37.3209,-0.00080,3.93203e+01,3.93199e+01,3.93200e+01,3.93199e+01,1.00732e-08,1.58747e-08,1.50700e-08,1.69973e-08
37.5,37.3207,-0.00035,3.93197e+01,3.93196e+01,3.93195e+01,3.93198e+01,1.68383e-08,1.87953e-08,2.00669e-08,1.57654e-08
