Ch 	 mean(nA) 	 sd(nA) 
1	14.093511000000001	3.4070384019439977
2	12.270613999999998	4.321040693951194
3	12.014293	4.835715760776613
4	13.870988999999996	3.816499753917776
5	13.830274	2.8794789132148355
6	12.597437000000001	3.3224681546372854
7	13.776617	2.5505336789692987
8	14.300139999999999	1.7649901895855775
9	15.13461	1.9306869453642659
10	14.275320999999996	3.3989583781520483
11	16.650559999999995	3.2465951395953954
12	15.59357	2.829712611261669
13	12.136493000000002	3.546749514514977
14	12.73156	1.7874909126109326
15	12.963012999999998	3.368193056238018
16	14.278283999999998	2.2938905364525715
