HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
37.0,37.1814,0.00310,3.91806e+01,3.91804e+01,3.91804e+01,3.91805e+01,1.27256e-08,1.60436e-08,1.66893e-08,1.47223e-08
37.0,37.183,0.00200,3.91819e+01,3.91824e+01,3.91822e+01,3.91820e+01,1.83086e-08,1.04010e-08,1.30037e-08,1.66396e-08
37.0,37.1828,0.00025,3.91819e+01,3.91819e+01,3.91821e+01,3.91819e+01,1.57456e-08,1.45435e-08,1.10269e-08,1.50104e-08
37.0,37.1833,0.00005,3.91824e+01,3.91825e+01,3.91823e+01,3.91825e+01,1.54674e-08,1.32620e-08,1.72456e-08,1.32322e-08
37.0,37.183,-0.00030,3.91820e+01,3.91827e+01,3.91821e+01,3.91822e+01,1.63416e-08,4.76837e-09,1.48912e-08,1.30236e-08
37.0,37.1831,-0.00035,3.91822e+01,3.91823e+01,3.91825e+01,3.91822e+01,1.42157e-08,1.40766e-08,9.48707e-09,1.56661e-08
37.0,37.1839,0.00095,3.91830e+01,3.91831e+01,3.91830e+01,3.91829e+01,1.45932e-08,1.27256e-08,1.49906e-08,1.69377e-08
37.0,37.1841,0.00070,3.91834e+01,3.91835e+01,3.91834e+01,3.91834e+01,1.13249e-08,1.05600e-08,1.15335e-08,1.17819e-08
37.0,37.1837,-0.00020,3.91832e+01,3.91828e+01,3.91828e+01,3.91830e+01,9.06984e-09,1.55369e-08,1.56363e-08,1.24772e-08
37.0,37.1843,0.00060,3.91837e+01,3.91835e+01,3.91835e+01,3.91835e+01,1.05103e-08,1.40568e-08,1.32620e-08,1.35104e-08
