HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
35.0,34.9979,0.00450,3.69977e+01,3.69978e+01,3.69975e+01,3.69977e+01,4.14418e-09,1.75171e-09,7.29660e-09,3.80642e-09
35.5,35.5012,0.00290,3.75011e+01,3.75009e+01,3.75010e+01,3.75009e+01,1.01493e-09,5.13924e-09,3.38919e-09,5.05646e-09
36.0,36.0046,0.00260,3.80047e+01,3.80046e+01,3.80043e+01,3.80045e+01,-1.60270e-09,2.59942e-10,5.54985e-09,1.39078e-09
36.5,36.5071,0.00295,3.85067e+01,3.85067e+01,3.85069e+01,3.85070e+01,5.86940e-09,7.29163e-09,3.05805e-09,1.91728e-09
37.0,37.0099,0.00280,3.90096e+01,3.90095e+01,3.90099e+01,3.90097e+01,5.59125e-09,6.72208e-09,6.68897e-10,2.84115e-09
37.5,37.512,0.00165,3.95101e+01,3.95105e+01,3.95106e+01,3.95102e+01,3.14746e-08,2.55869e-08,2.28832e-08,3.07692e-08
38.0,38.0148,0.00250,4.00109e+01,4.00102e+01,4.00111e+01,4.00105e+01,6.46114e-08,7.58717e-08,6.15534e-08,7.24627e-08
38.5,38.5176,0.00180,4.05101e+01,4.05095e+01,4.05102e+01,4.05096e+01,1.25473e-07,1.34534e-07,1.22961e-07,1.32604e-07
39.0,39.0216,0.00285,4.10097e+01,4.10082e+01,4.10103e+01,4.10095e+01,1.97863e-07,2.23741e-07,1.88849e-07,2.01919e-07
39.5,39.5229,0.00165,4.15055e+01,4.15037e+01,4.15061e+01,4.15052e+01,2.89692e-07,3.19759e-07,2.80581e-07,2.94743e-07
40.0,40.0258,0.00250,4.20011e+01,4.19979e+01,4.20016e+01,4.20005e+01,4.11994e-07,4.65320e-07,4.03813e-07,4.21173e-07
40.5,40.5287,0.00225,4.24949e+01,4.24906e+01,4.24958e+01,4.24944e+01,5.64229e-07,6.35434e-07,5.48280e-07,5.71287e-07
41.0,41.0307,0.00230,4.29849e+01,4.29794e+01,4.29858e+01,4.29840e+01,7.64352e-07,8.55234e-07,7.49086e-07,7.78261e-07
41.5,41.5341,0.00235,4.34733e+01,4.34656e+01,4.34734e+01,4.34727e+01,1.01405e-06,1.14243e-06,1.01173e-06,1.02292e-06
42.0,42.0361,0.00140,4.39546e+01,4.39446e+01,4.39546e+01,4.39548e+01,1.35861e-06,1.52533e-06,1.35867e-06,1.35588e-06
42.5,42.5383,0.00125,4.44300e+01,4.44163e+01,4.44297e+01,4.44287e+01,1.80541e-06,2.03329e-06,1.80977e-06,1.82783e-06
43.0,43.0414,0.00245,4.48938e+01,4.48774e+01,4.48922e+01,4.48963e+01,2.46098e-06,2.73395e-06,2.48800e-06,2.41975e-06
43.5,43.5423,0.00005,4.53442e+01,4.53174e+01,4.53367e+01,4.53422e+01,3.30222e-06,3.74866e-06,3.42733e-06,3.33523e-06
44.0,44.0429,0.00060,4.57678e+01,4.57315e+01,4.57590e+01,4.57697e+01,4.58560e-06,5.19162e-06,4.73303e-06,4.55419e-06
44.5,44.5468,0.00265,4.61628e+01,4.61136e+01,4.61433e+01,4.61627e+01,6.40128e-06,7.22254e-06,6.72706e-06,6.40250e-06
45.0,45.0512,0.00355,4.65004e+01,4.64397e+01,4.64711e+01,4.65111e+01,9.18202e-06,1.01943e-05,9.67135e-06,9.00447e-06
