HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,34.9989,0.00375,3.69989e+01,3.69987e+01,3.69988e+01,3.69986e+01,-1.82125e-10,3.36932e-09,1.88748e-09,4.18060e-09
35.5,35.503,0.00355,3.75026e+01,3.75029e+01,3.75030e+01,3.75030e+01,6.11610e-09,2.40405e-09,-4.35445e-10,6.37439e-10
36.0,36.005,0.00185,3.80048e+01,3.80051e+01,3.80046e+01,3.80048e+01,3.46700e-09,-1.26163e-09,6.31313e-09,3.87265e-09
36.5,36.5091,0.00280,3.85092e+01,3.85091e+01,3.85086e+01,3.85089e+01,-1.39078e-09,6.10948e-10,8.16915e-09,2.60936e-09
37.0,37.0116,0.00210,3.90113e+01,3.90113e+01,3.90109e+01,3.90112e+01,4.23690e-09,5.63761e-09,1.16444e-08,7.35786e-09
37.5,37.5147,0.00180,3.95129e+01,3.95130e+01,3.95132e+01,3.95130e+01,3.02245e-08,2.81913e-08,2.44147e-08,2.86351e-08
38.0,38.0172,0.00115,4.00132e+01,4.00129e+01,4.00129e+01,4.00124e+01,6.73284e-08,7.24031e-08,7.16166e-08,7.93619e-08
38.5,38.5205,0.00255,4.05131e+01,4.05123e+01,4.05134e+01,4.05127e+01,1.23940e-07,1.37125e-07,1.18670e-07,1.30678e-07
39.0,39.0226,0.00185,4.10109e+01,4.10092e+01,4.10110e+01,4.10102e+01,1.95288e-07,2.23297e-07,1.93882e-07,2.06494e-07
39.5,39.5258,0.00180,4.15081e+01,4.15064e+01,4.15090e+01,4.15078e+01,2.94644e-07,3.23239e-07,2.80201e-07,3.00561e-07
40.0,40.028,0.00140,4.20034e+01,4.20002e+01,4.20041e+01,4.20025e+01,4.09484e-07,4.63857e-07,3.97830e-07,4.25208e-07
40.5,40.5319,0.00275,4.24981e+01,4.24937e+01,4.24988e+01,4.24977e+01,5.62777e-07,6.36765e-07,5.51843e-07,5.69926e-07
41.0,41.035,0.00245,4.29894e+01,4.29834e+01,4.29904e+01,4.29885e+01,7.60390e-07,8.60756e-07,7.44071e-07,7.75918e-07
41.5,41.5379,0.00290,4.34772e+01,4.34696e+01,4.34772e+01,4.34759e+01,1.01132e-06,1.13830e-06,1.01158e-06,1.03442e-06
42.0,42.0408,0.00285,4.39590e+01,4.39494e+01,4.39594e+01,4.39584e+01,1.36434e-06,1.52383e-06,1.35686e-06,1.37426e-06
42.5,42.5448,0.00400,4.44362e+01,4.44224e+01,4.44352e+01,4.44353e+01,1.81064e-06,2.04099e-06,1.82723e-06,1.82491e-06
43.0,43.0462,0.00195,4.49001e+01,4.48809e+01,4.48967e+01,4.48985e+01,2.43635e-06,2.75515e-06,2.49230e-06,2.46188e-06
43.5,43.5475,0.00070,4.53473e+01,4.53244e+01,4.53414e+01,4.53486e+01,3.33725e-06,3.71863e-06,3.43624e-06,3.31606e-06
44.0,44.0454,0.00105,4.57713e+01,4.57359e+01,4.57599e+01,4.57720e+01,4.57029e-06,5.15927e-06,4.75930e-06,4.55814e-06
44.5,44.5452,-0.00095,4.61611e+01,4.61080e+01,4.61451e+01,4.61663e+01,6.40395e-06,7.28900e-06,6.67068e-06,6.31712e-06
45.0,45.0478,-0.00175,4.65062e+01,4.64374e+01,4.64737e+01,4.65099e+01,9.02860e-06,1.01765e-05,9.57117e-06,8.96657e-06
