HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
35.0,35.0014,0.00480,3.70010e+01,3.70011e+01,3.70011e+01,3.70010e+01,5.84622e-09,4.40247e-09,5.12269e-09,7.19064e-09
35.5,35.5037,0.00190,3.75036e+01,3.75036e+01,3.75035e+01,3.75036e+01,1.27984e-09,1.48018e-09,4.03325e-09,1.69873e-09
36.0,36.007,0.00135,3.80065e+01,3.80070e+01,3.80068e+01,3.80068e+01,8.86122e-09,5.87768e-10,3.40409e-09,3.52661e-09
36.5,36.51,0.00190,3.85099e+01,3.85097e+01,3.85098e+01,3.85097e+01,9.00692e-10,5.10944e-09,3.07626e-09,4.32465e-09
37.0,37.0136,0.00245,3.90132e+01,3.90129e+01,3.90133e+01,3.90133e+01,7.44561e-09,1.15451e-08,5.66906e-09,5.43561e-09
37.5,37.517,0.00290,3.95152e+01,3.95152e+01,3.95152e+01,3.95151e+01,2.95937e-08,2.99265e-08,3.02974e-08,3.08454e-08
38.0,38.0181,0.00120,4.00141e+01,4.00136e+01,4.00141e+01,4.00137e+01,6.67986e-08,7.42442e-08,6.68135e-08,7.29263e-08
38.5,38.5219,0.00305,4.05145e+01,4.05136e+01,4.05148e+01,4.05141e+01,1.23266e-07,1.39031e-07,1.18131e-07,1.30203e-07
39.0,39.0241,0.00165,4.10122e+01,4.10105e+01,4.10124e+01,4.10123e+01,1.99028e-07,2.27440e-07,1.94502e-07,1.96700e-07
39.5,39.5273,0.00170,4.15097e+01,4.15077e+01,4.15104e+01,4.15093e+01,2.94028e-07,3.26183e-07,2.82062e-07,3.00217e-07
40.0,40.0305,0.00280,4.20057e+01,4.20028e+01,4.20068e+01,4.20053e+01,4.13203e-07,4.61424e-07,3.95503e-07,4.20628e-07
40.5,40.5328,0.00295,4.24992e+01,4.24952e+01,4.24999e+01,4.24983e+01,5.60012e-07,6.26759e-07,5.47979e-07,5.75665e-07
41.0,41.0358,0.00290,4.29898e+01,4.29844e+01,4.29908e+01,4.29897e+01,7.66592e-07,8.57603e-07,7.51022e-07,7.69200e-07
41.5,41.5385,0.00220,4.34766e+01,4.34700e+01,4.34786e+01,4.34768e+01,1.03206e-06,1.14268e-06,9.98631e-07,1.02862e-06
42.0,42.0404,0.00130,4.39586e+01,4.39496e+01,4.39581e+01,4.39579e+01,1.36416e-06,1.51357e-06,1.37207e-06,1.37508e-06
42.5,42.5434,0.00235,4.44340e+01,4.44211e+01,4.44345e+01,4.44350e+01,1.82452e-06,2.03857e-06,1.81473e-06,1.80746e-06
43.0,43.0442,0.00195,4.48968e+01,4.48801e+01,4.48954e+01,4.48966e+01,2.45738e-06,2.73639e-06,2.48006e-06,2.46036e-06
43.5,43.5473,-0.00045,4.53463e+01,4.53218e+01,4.53434e+01,4.53483e+01,3.35142e-06,3.75970e-06,3.39978e-06,3.31708e-06
44.0,44.0496,0.00065,4.57749e+01,4.57370e+01,4.57640e+01,4.57761e+01,4.58004e-06,5.21206e-06,4.76037e-06,4.55968e-06
44.5,44.5521,0.00245,4.61665e+01,4.61188e+01,4.61463e+01,4.61681e+01,6.42768e-06,7.22323e-06,6.76425e-06,6.40098e-06
45.0,45.0535,0.00040,4.65093e+01,4.64415e+01,4.64700e+01,4.65094e+01,9.07297e-06,1.02033e-05,9.72766e-06,9.07028e-06
