HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
38.0,37.4168,0.00230,3.94154e+01,3.94154e+01,3.94153e+01,3.94150e+01,2.36928e-08,2.31862e-08,2.44478e-08,2.98023e-08
38.0,37.4165,-0.00050,3.94153e+01,3.94151e+01,3.94149e+01,3.94153e+01,1.92622e-08,2.35438e-08,2.64943e-08,1.99477e-08
38.0,37.4173,0.00035,3.94160e+01,3.94157e+01,3.94157e+01,3.94160e+01,2.11994e-08,2.61366e-08,2.60770e-08,2.16961e-08
38.0,37.4158,-0.00020,3.94147e+01,3.94144e+01,3.94149e+01,3.94143e+01,1.82788e-08,2.26696e-08,1.56760e-08,2.49545e-08
38.0,37.4165,-0.00005,3.94150e+01,3.94152e+01,3.94154e+01,3.94149e+01,2.43485e-08,2.13881e-08,1.83980e-08,2.62658e-08
38.0,37.4161,-0.00025,3.94146e+01,3.94146e+01,3.94146e+01,3.94148e+01,2.49247e-08,2.45571e-08,2.44280e-08,2.23617e-08
38.0,37.4162,-0.00070,3.94150e+01,3.94150e+01,3.94147e+01,3.94148e+01,2.04047e-08,2.00967e-08,2.57790e-08,2.29875e-08
38.0,37.4168,0.00050,3.94154e+01,3.94153e+01,3.94154e+01,3.94154e+01,2.33650e-08,2.55704e-08,2.37326e-08,2.40306e-08
38.0,37.4166,0.00010,3.94152e+01,3.94159e+01,3.94154e+01,3.94156e+01,2.36928e-08,1.12553e-08,2.00868e-08,1.61628e-08
38.0,37.4157,-0.00065,3.94148e+01,3.94147e+01,3.94147e+01,3.94143e+01,1.41760e-08,1.62323e-08,1.61330e-08,2.32259e-08
