HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
38.0,37.4155,0.00165,3.94142e+01,3.94142e+01,3.94143e+01,3.94139e+01,2.22623e-08,2.14378e-08,2.01762e-08,2.65539e-08
38.0,37.4161,0.00065,3.94150e+01,3.94147e+01,3.94146e+01,3.94145e+01,1.90934e-08,2.38816e-08,2.52724e-08,2.71897e-08
38.0,37.4155,-0.00065,3.94150e+01,3.94139e+01,3.94143e+01,3.94143e+01,8.19564e-09,2.70506e-08,2.04345e-08,2.07126e-08
38.0,37.4175,0.00160,3.94162e+01,3.94162e+01,3.94160e+01,3.94160e+01,2.20537e-08,2.24908e-08,2.51333e-08,2.45670e-08
38.0,37.417,0.00070,3.94159e+01,3.94161e+01,3.94154e+01,3.94155e+01,1.87159e-08,1.47323e-08,2.71102e-08,2.51134e-08
38.0,37.4161,-0.00065,3.94147e+01,3.94154e+01,3.94146e+01,3.94147e+01,2.25107e-08,1.24077e-08,2.42889e-08,2.39114e-08
38.0,37.4165,-0.00025,3.94152e+01,3.94156e+01,3.94151e+01,3.94151e+01,2.13385e-08,1.50204e-08,2.36432e-08,2.26100e-08
38.0,37.4161,0.00020,3.94154e+01,3.94147e+01,3.94151e+01,3.94151e+01,1.14739e-08,2.35736e-08,1.65204e-08,1.70271e-08
38.0,37.4167,0.00025,3.94154e+01,3.94156e+01,3.94155e+01,3.94157e+01,2.24511e-08,1.77821e-08,1.92424e-08,1.64211e-08
38.0,37.4153,-0.00140,3.94148e+01,3.94138e+01,3.94140e+01,3.94134e+01,8.82149e-09,2.54015e-08,2.10702e-08,3.11434e-08
