HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,34.7711,0.00050,3.67708e+01,3.67711e+01,3.67703e+01,3.67708e+01,4.54817e-09,3.79152e-10,1.30485e-08,5.36939e-09
35.5,35.2702,-0.00125,3.72700e+01,3.72697e+01,3.72699e+01,3.72697e+01,3.10772e-09,7.58469e-09,4.50677e-09,7.82973e-09
36.0,35.769,-0.00185,3.77689e+01,3.77688e+01,3.77688e+01,3.77686e+01,1.13083e-09,3.22693e-09,3.30640e-09,7.18567e-09
36.5,36.2694,0.00045,3.82692e+01,3.82691e+01,3.82690e+01,3.82690e+01,3.27163e-09,5.19719e-09,6.07471e-09,7.06646e-09
37.0,36.7688,0.00035,3.87685e+01,3.87686e+01,3.87687e+01,3.87685e+01,5.39588e-09,2.75837e-09,2.13914e-09,5.77668e-09
37.5,37.267,-0.00100,3.92659e+01,3.92659e+01,3.92659e+01,3.92655e+01,1.80056e-08,1.89775e-08,1.75767e-08,2.43071e-08
38.0,37.7661,-0.00135,3.97636e+01,3.97634e+01,3.97632e+01,3.97636e+01,4.13209e-08,4.48111e-08,4.86523e-08,4.18574e-08
38.5,38.2659,-0.00050,4.02615e+01,4.02615e+01,4.02614e+01,4.02617e+01,7.31101e-08,7.26067e-08,7.48916e-08,7.07706e-08
39.0,38.7643,-0.00125,4.07576e+01,4.07574e+01,4.07560e+01,4.07566e+01,1.11282e-07,1.15408e-07,1.38159e-07,1.27948e-07
39.5,39.2625,-0.00170,4.12522e+01,4.12516e+01,4.12499e+01,4.12512e+01,1.71893e-07,1.82069e-07,2.10027e-07,1.87559e-07
40.0,39.7622,-0.00175,4.17470e+01,4.17470e+01,4.17449e+01,4.17467e+01,2.53416e-07,2.54038e-07,2.88119e-07,2.57676e-07
40.5,40.2608,-0.00210,4.22395e+01,4.22398e+01,4.22369e+01,4.22390e+01,3.54295e-07,3.50427e-07,3.98250e-07,3.63439e-07
41.0,40.7597,-0.00120,4.27309e+01,4.27308e+01,4.27272e+01,4.27299e+01,4.79567e-07,4.82536e-07,5.42036e-07,4.97358e-07
41.5,41.2596,-0.00010,4.32201e+01,4.32206e+01,4.32154e+01,4.32194e+01,6.58861e-07,6.49813e-07,7.36276e-07,6.70671e-07
42.0,41.7589,-0.00040,4.37060e+01,4.37063e+01,4.36994e+01,4.37052e+01,8.82243e-07,8.77675e-07,9.91833e-07,8.94745e-07
42.5,42.2566,-0.00190,4.41842e+01,4.41856e+01,4.41767e+01,4.41853e+01,1.20625e-06,1.18333e-06,1.33280e-06,1.18924e-06
43.0,42.7563,-0.00085,4.46563e+01,4.46606e+01,4.46479e+01,4.46601e+01,1.66746e-06,1.59504e-06,1.80674e-06,1.60346e-06
43.5,43.2542,-0.00220,4.51160e+01,4.51236e+01,4.51046e+01,4.51219e+01,2.30316e-06,2.17776e-06,2.49323e-06,2.20522e-06
44.0,43.75,-0.00355,4.55549e+01,4.55671e+01,4.55406e+01,4.55658e+01,3.25233e-06,3.04932e-06,3.49047e-06,3.07103e-06
44.5,44.2514,-0.00070,4.59650e+01,4.59897e+01,4.59538e+01,4.59854e+01,4.77448e-06,4.36251e-06,4.96149e-06,4.43377e-06
45.0,44.749,-0.00095,4.63263e+01,4.63698e+01,4.63115e+01,4.63584e+01,7.04716e-06,6.32116e-06,7.29327e-06,6.51243e-06
