Ch 	 mean(nA) 	 sd(nA) 
1	18.90163	3.350417504680076
2	17.229716	5.494913361515358
3	19.56027	3.878805521191057
4	19.501659999999998	4.276358040877515
5	15.727681	4.1772691186745705
6	15.171365000000002	3.690825769996767
7	18.770498000000003	4.868457879684512
8	17.945970000000003	1.0831104037806016
9	13.649458	3.9756241681829025
10	16.171739999999996	5.120433187230246
11	14.207756999999999	5.209391559253665
12	13.709059000000002	2.78384918444648
13	14.518691999999998	8.046427048584704
14	17.107533	4.553938336624563
15	15.364094000000001	4.263500217677698
16	16.50452	4.419718755959227
