Ch 	 mean(nA) 	 sd(nA) 
1	20.32915	4.291934993359315
2	22.59413	4.184480480710173
3	23.80311	5.088764241269408
4	23.060060000000004	3.506744231144705
5	19.12513	4.698886245590544
6	16.842274999999997	4.44678176495529
7	20.587439999999997	6.251225415193053
8	22.11728	4.14296302764633
9	19.257264	4.253905428565875
10	19.98943	3.768967013224947
11	21.711000000000002	4.120862816072489
12	19.36059	3.894927651146638
13	18.621489999999998	4.817596508737526
14	17.985688	6.42537464254861
15	21.13283	3.830498961420619
16	20.56957	4.411820937247264
