HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
35.0,35.3708,0.00225,3.73699e+01,3.73698e+01,3.73698e+01,3.73700e+01,1.57538e-08,1.73218e-08,1.59757e-08,1.27239e-08
35.5,35.8718,0.00005,3.78712e+01,3.78712e+01,3.78712e+01,3.78711e+01,1.08050e-08,9.51853e-09,1.05898e-08,1.14640e-08
36.0,36.3721,-0.00030,3.83715e+01,3.83715e+01,3.83716e+01,3.83716e+01,9.52846e-09,1.04970e-08,8.80824e-09,7.95225e-09
36.5,36.8728,0.00070,3.88722e+01,3.88722e+01,3.88721e+01,3.88722e+01,9.45561e-09,9.23541e-09,1.24110e-08,9.18408e-09
37.0,37.3732,0.00015,3.93713e+01,3.93714e+01,3.93716e+01,3.93718e+01,3.14696e-08,2.92626e-08,2.65257e-08,2.39842e-08
37.5,37.8739,-0.00005,3.98702e+01,3.98700e+01,3.98703e+01,3.98700e+01,6.16345e-08,6.43035e-08,6.02918e-08,6.55933e-08
38.0,38.374,-0.00025,4.03671e+01,4.03664e+01,4.03675e+01,4.03668e+01,1.14815e-07,1.26360e-07,1.08421e-07,1.19241e-07
38.5,38.8754,0.00060,4.08642e+01,4.08632e+01,4.08647e+01,4.08642e+01,1.86283e-07,2.02686e-07,1.77792e-07,1.86241e-07
39.0,39.3757,0.00080,4.13599e+01,4.13578e+01,4.13600e+01,4.13595e+01,2.64131e-07,2.99051e-07,2.62348e-07,2.70199e-07
39.5,39.8763,0.00050,4.18533e+01,4.18510e+01,4.18539e+01,4.18532e+01,3.84046e-07,4.21718e-07,3.72925e-07,3.84596e-07
40.0,40.3756,-0.00120,4.23444e+01,4.23409e+01,4.23453e+01,4.23438e+01,5.20822e-07,5.79263e-07,5.05913e-07,5.30899e-07
40.5,40.8773,0.00035,4.28352e+01,4.28300e+01,4.28358e+01,4.28345e+01,7.02615e-07,7.88190e-07,6.92268e-07,7.12764e-07
41.0,41.3793,0.00200,4.33230e+01,4.33159e+01,4.33228e+01,4.33217e+01,9.39149e-07,1.05687e-06,9.41344e-07,9.60246e-07
41.5,41.8799,0.00025,4.38042e+01,4.37963e+01,4.38050e+01,4.38048e+01,1.26118e-06,1.39326e-06,1.24817e-06,1.25234e-06
42.0,42.3803,-0.00080,4.42801e+01,4.42671e+01,4.42793e+01,4.42792e+01,1.67045e-06,1.88757e-06,1.68422e-06,1.68485e-06
42.5,42.8816,0.00090,4.47468e+01,4.47317e+01,4.47453e+01,4.47465e+01,2.24730e-06,2.49826e-06,2.27191e-06,2.25159e-06
43.0,43.3819,0.00020,4.51995e+01,4.51781e+01,4.51941e+01,4.51998e+01,3.04107e-06,3.39803e-06,3.13016e-06,3.03603e-06
43.5,43.8818,-0.00075,4.56325e+01,4.56008e+01,4.56218e+01,4.56335e+01,4.15583e-06,4.68408e-06,4.33405e-06,4.13874e-06
44.0,44.3826,0.00025,4.60355e+01,4.59932e+01,4.60188e+01,4.60373e+01,5.78697e-06,6.49221e-06,6.06507e-06,5.75644e-06
44.5,44.8834,0.00010,4.63960e+01,4.63350e+01,4.63681e+01,4.63979e+01,8.12621e-06,9.14290e-06,8.59016e-06,8.09296e-06
45.0,45.3838,-0.00035,4.66983e+01,4.66155e+01,4.66509e+01,4.66992e+01,1.14274e-05,1.28083e-05,1.22174e-05,1.14128e-05
