HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
37.5,37.3789,0.00250,3.93774e+01,3.93769e+01,3.93774e+01,3.93769e+01,2.51532e-08,3.28720e-08,2.45074e-08,3.27329e-08
37.5,37.3782,-0.00075,3.93766e+01,3.93766e+01,3.93768e+01,3.93775e+01,2.69810e-08,2.73486e-08,2.36531e-08,1.15037e-08
37.5,37.3792,0.00000,3.93778e+01,3.93776e+01,3.93782e+01,3.93779e+01,2.28782e-08,2.60472e-08,1.73847e-08,2.22226e-08
37.5,37.3794,-0.00060,3.93783e+01,3.93778e+01,3.93780e+01,3.93788e+01,1.85470e-08,2.64645e-08,2.41697e-08,9.71556e-09
37.5,37.38,-0.00035,3.93786e+01,3.93787e+01,3.93782e+01,3.93784e+01,2.41498e-08,2.12888e-08,2.94050e-08,2.67227e-08
37.5,37.3808,0.00030,3.93797e+01,3.93798e+01,3.93797e+01,3.93797e+01,1.83781e-08,1.65701e-08,1.83284e-08,1.82490e-08
37.5,37.3801,-0.00095,3.93786e+01,3.93788e+01,3.93789e+01,3.93794e+01,2.58187e-08,2.24710e-08,2.02656e-08,1.20997e-08
37.5,37.3816,0.00135,3.93804e+01,3.93800e+01,3.93804e+01,3.93801e+01,1.95305e-08,2.68718e-08,1.96000e-08,2.46565e-08
37.5,37.3812,0.00065,3.93800e+01,3.93799e+01,3.93797e+01,3.93794e+01,1.95603e-08,2.23418e-08,2.46962e-08,3.01600e-08
37.5,37.381,0.00060,3.93798e+01,3.93796e+01,3.93801e+01,3.93792e+01,1.94410e-08,2.41399e-08,1.52985e-08,2.99116e-08
