HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
37.5,37.3725,0.00200,3.93707e+01,3.93706e+01,3.93707e+01,3.93706e+01,3.05573e-08,3.18289e-08,2.94944e-08,3.12825e-08
37.5,37.3727,0.00000,3.93711e+01,3.93710e+01,3.93712e+01,3.93712e+01,2.63155e-08,2.77857e-08,2.47260e-08,2.53518e-08
37.5,37.374,0.00055,3.93725e+01,3.93724e+01,3.93728e+01,3.93726e+01,2.49942e-08,2.74380e-08,2.00172e-08,2.38220e-08
37.5,37.3739,0.00015,3.93724e+01,3.93723e+01,3.93726e+01,3.93724e+01,2.42194e-08,2.68718e-08,2.08815e-08,2.41995e-08
37.5,37.3741,-0.00020,3.93730e+01,3.93724e+01,3.93727e+01,3.93730e+01,1.84576e-08,2.90672e-08,2.30769e-08,1.89245e-08
37.5,37.3752,0.00070,3.93739e+01,3.93738e+01,3.93740e+01,3.93741e+01,2.20537e-08,2.27292e-08,2.00570e-08,1.90238e-08
37.5,37.3746,-0.00010,3.93733e+01,3.93731e+01,3.93734e+01,3.93732e+01,2.17855e-08,2.52326e-08,1.91728e-08,2.34743e-08
37.5,37.376,0.00045,3.93743e+01,3.93743e+01,3.93748e+01,3.93743e+01,2.76367e-08,2.89679e-08,2.04643e-08,2.75473e-08
37.5,37.3756,0.00005,3.93740e+01,3.93740e+01,3.93742e+01,3.93741e+01,2.74479e-08,2.72592e-08,2.38419e-08,2.48949e-08
37.5,37.3752,0.00005,3.93741e+01,3.93742e+01,3.93736e+01,3.93738e+01,1.79112e-08,1.61231e-08,2.71698e-08,2.31663e-08
