Ch 	 mean(nA) 	 sd(nA) 
1	24.137900000000002	4.093402657936304
2	26.33036	4.314616263920684
3	22.89018	3.436103505684568
4	24.168689999999998	3.644294730564781
5	21.83816	5.530646087473767
6	21.85304	5.639090818799309
7	21.699069999999995	5.235537366042021
8	21.99214	3.065641289518394
9	22.043779999999998	3.3057126526329808
10	24.641569999999998	4.371402881112652
11	21.73086	4.2631031311840335
12	21.797426000000005	8.475716645602175
13	20.24172	3.061273270607074
14	20.441409999999998	5.85460978118003
15	17.812851000000002	3.861938821572082
16	23.414679999999997	2.4771287006442666
