HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,34.8869,0.00100,3.68868e+01,3.68869e+01,3.68864e+01,3.68864e+01,1.85933e-09,5.49687e-10,8.00192e-09,7.71715e-09
35.5,35.3846,-0.00195,3.73844e+01,3.73843e+01,3.73843e+01,3.73844e+01,3.82629e-09,5.26508e-09,5.08295e-09,3.12593e-09
36.0,35.8826,-0.00335,3.78819e+01,3.78822e+01,3.78825e+01,3.78828e+01,1.20302e-08,6.08795e-09,2.21199e-09,-3.32793e-09
36.5,36.3808,-0.00290,3.83808e+01,3.83810e+01,3.83805e+01,3.83806e+01,-4.71870e-10,-3.65244e-09,4.17729e-09,3.80476e-09
37.0,36.8803,-0.00195,3.88802e+01,3.88798e+01,3.88802e+01,3.88798e+01,1.79145e-09,8.15756e-09,1.43217e-09,8.02345e-09
37.5,37.3783,-0.00220,3.93769e+01,3.93765e+01,3.93767e+01,3.93771e+01,2.40240e-08,3.07527e-08,2.74827e-08,1.95503e-08
38.0,37.8769,-0.00300,3.98733e+01,3.98734e+01,3.98726e+01,3.98729e+01,5.95964e-08,5.82089e-08,7.13882e-08,6.63549e-08
38.5,38.3756,-0.00250,4.03687e+01,4.03690e+01,4.03679e+01,4.03686e+01,1.15010e-07,1.10187e-07,1.29195e-07,1.17118e-07
39.0,38.8752,-0.00095,4.08642e+01,4.08648e+01,4.08633e+01,4.08633e+01,1.82860e-07,1.72748e-07,1.98343e-07,1.98469e-07
39.5,39.3735,-0.00175,4.13569e+01,4.13576e+01,4.13553e+01,4.13561e+01,2.76259e-07,2.65184e-07,3.03535e-07,2.89879e-07
40.0,39.8715,-0.00220,4.18481e+01,4.18486e+01,4.18451e+01,4.18473e+01,3.89869e-07,3.81645e-07,4.39665e-07,4.02951e-07
40.5,40.3687,-0.00275,4.23366e+01,4.23373e+01,4.23323e+01,4.23361e+01,5.35809e-07,5.24044e-07,6.06012e-07,5.43581e-07
41.0,40.8675,-0.00260,4.28241e+01,4.28243e+01,4.28191e+01,4.28238e+01,7.24107e-07,7.20524e-07,8.06742e-07,7.28549e-07
41.5,41.3665,-0.00135,4.33091e+01,4.33095e+01,4.33024e+01,4.33079e+01,9.56166e-07,9.50024e-07,1.06922e-06,9.77587e-07
42.0,41.8643,-0.00205,4.37876e+01,4.37874e+01,4.37783e+01,4.37864e+01,1.27870e-06,1.28240e-06,1.43368e-06,1.29818e-06
42.5,42.3629,-0.00245,4.42601e+01,4.42600e+01,4.42484e+01,4.42599e+01,1.71346e-06,1.71514e-06,1.90821e-06,1.71637e-06
43.0,42.861,-0.00190,4.47237e+01,4.47239e+01,4.47055e+01,4.47247e+01,2.28834e-06,2.28619e-06,2.59294e-06,2.27231e-06
43.5,43.3575,-0.00410,4.51740e+01,4.51689e+01,4.51500e+01,4.51725e+01,3.05918e-06,3.14423e-06,3.45909e-06,3.08375e-06
44.0,43.8556,-0.00315,4.56040e+01,4.55943e+01,4.55730e+01,4.56052e+01,4.19370e-06,4.35637e-06,4.71185e-06,4.17384e-06
44.5,44.3539,-0.00315,4.60043e+01,4.59870e+01,4.59598e+01,4.60082e+01,5.82878e-06,6.11665e-06,6.56929e-06,5.76326e-06
45.0,44.8539,-0.00120,4.63675e+01,4.63384e+01,4.63040e+01,4.63658e+01,8.10791e-06,8.59350e-06,9.16719e-06,8.13761e-06
