HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
37.0,37.3875,0.00190,3.93855e+01,3.93858e+01,3.93855e+01,3.93854e+01,3.33488e-08,2.91268e-08,3.31601e-08,3.52363e-08
37.0,37.3882,-0.00010,3.93865e+01,3.93866e+01,3.93866e+01,3.93867e+01,2.82129e-08,2.60572e-08,2.68718e-08,2.52227e-08
37.0,37.3889,-0.00015,3.93873e+01,3.93875e+01,3.93868e+01,3.93879e+01,2.62658e-08,2.37028e-08,3.46204e-08,1.62323e-08
37.0,37.3893,0.00030,3.93881e+01,3.93878e+01,3.93877e+01,3.93881e+01,2.00768e-08,2.51730e-08,2.61068e-08,2.07822e-08
37.0,37.3898,0.00070,3.93884e+01,3.93886e+01,3.93883e+01,3.93882e+01,2.28385e-08,2.07524e-08,2.58088e-08,2.58982e-08
37.0,37.3893,0.00030,3.93879e+01,3.93878e+01,3.93878e+01,3.93880e+01,2.28087e-08,2.43286e-08,2.48253e-08,2.24411e-08
37.0,37.3897,0.00010,3.93881e+01,3.93886e+01,3.93881e+01,3.93884e+01,2.68718e-08,1.90039e-08,2.62161e-08,2.16862e-08
37.0,37.3901,0.00100,3.93889e+01,3.93888e+01,3.93884e+01,3.93885e+01,2.04941e-08,2.11398e-08,2.80837e-08,2.73585e-08
37.0,37.3896,0.00040,3.93883e+01,3.93881e+01,3.93880e+01,3.93879e+01,2.13087e-08,2.54810e-08,2.65638e-08,2.88685e-08
37.0,37.39,0.00050,3.93887e+01,3.93886e+01,3.93886e+01,3.93887e+01,2.09709e-08,2.31663e-08,2.29379e-08,2.10504e-08
