Ch 	 mean(nA) 	 sd(nA) 
1	24.319699999999997	4.2736563232072005
2	23.79318	2.948402984969622
3	27.519470000000002	3.632586897652965
4	24.47764	5.283395277912365
5	21.75171	3.8757379097978792
6	22.17987	4.570891546648445
7	24.8909	3.4512499233369547
8	27.051569999999998	4.2682286063034
9	20.51393	6.112797646477248
10	23.677939999999996	3.7355554223940755
11	24.17565	6.8950965851344925
12	23.210049999999995	3.4965694598023096
13	22.03087	3.4840459931426473
14	21.21328	2.1580831349448366
15	23.381929999999997	3.995740257115486
16	23.426620000000003	3.0682715669321783
