HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,35.3811,0.00230,3.73811e+01,3.73807e+01,3.73807e+01,3.73810e+01,8.94070e-11,7.03666e-09,6.09457e-09,2.37425e-09
35.5,35.8821,0.00000,3.78821e+01,3.78818e+01,3.78817e+01,3.78819e+01,6.88765e-10,5.15083e-09,6.41412e-09,2.88089e-09
36.0,36.3832,0.00010,3.83831e+01,3.83832e+01,3.83830e+01,3.83828e+01,2.16398e-09,-9.60297e-11,3.48522e-09,5.85119e-09
36.5,36.8846,0.00085,3.88843e+01,3.88842e+01,3.88839e+01,3.88841e+01,5.32137e-09,7.27177e-09,1.09937e-08,7.78337e-09
37.0,37.3865,0.00060,3.93849e+01,3.93851e+01,3.93848e+01,3.93853e+01,2.63883e-08,2.39809e-08,2.81715e-08,1.92357e-08
37.5,37.8877,0.00025,3.98843e+01,3.98836e+01,3.98835e+01,3.98843e+01,5.60151e-08,6.89924e-08,7.05868e-08,5.72138e-08
38.0,38.39,0.00090,4.03831e+01,4.03824e+01,4.03826e+01,4.03833e+01,1.14249e-07,1.26360e-07,1.23054e-07,1.11595e-07
38.5,38.8911,0.00090,4.08801e+01,4.08782e+01,4.08793e+01,4.08800e+01,1.83988e-07,2.14381e-07,1.95925e-07,1.85468e-07
39.0,39.3934,0.00165,4.13769e+01,4.13748e+01,4.13761e+01,4.13770e+01,2.75392e-07,3.10840e-07,2.88833e-07,2.72940e-07
39.5,39.8942,0.00095,4.18703e+01,4.18678e+01,4.18699e+01,4.18712e+01,3.98070e-07,4.39316e-07,4.05058e-07,3.83695e-07
40.0,40.395,0.00110,4.23628e+01,4.23589e+01,4.23621e+01,4.23634e+01,5.36299e-07,6.01823e-07,5.48820e-07,5.27453e-07
40.5,40.8969,0.00160,4.28531e+01,4.28478e+01,4.28525e+01,4.28538e+01,7.30809e-07,8.18494e-07,7.39992e-07,7.18940e-07
41.0,41.3982,0.00140,4.33404e+01,4.33330e+01,4.33382e+01,4.33398e+01,9.64206e-07,1.08714e-06,9.99476e-07,9.74384e-07
41.5,41.8989,0.00030,4.38212e+01,4.38122e+01,4.38198e+01,4.38216e+01,1.29451e-06,1.44615e-06,1.31947e-06,1.28815e-06
42.0,42.4009,0.00110,4.42975e+01,4.42859e+01,4.42963e+01,4.42980e+01,1.72361e-06,1.91727e-06,1.74324e-06,1.71558e-06
42.5,42.9015,0.00060,4.47631e+01,4.47460e+01,4.47619e+01,4.47598e+01,2.30801e-06,2.59188e-06,2.32740e-06,2.36201e-06
43.0,43.4023,0.00005,4.52139e+01,4.51892e+01,4.52117e+01,4.52111e+01,3.14048e-06,3.55182e-06,3.17826e-06,3.18739e-06
43.5,43.9032,-0.00085,4.56449e+01,4.56151e+01,4.56439e+01,4.56353e+01,4.30601e-06,4.80358e-06,4.32313e-06,4.46648e-06
44.0,44.4031,-0.00050,4.60433e+01,4.59999e+01,4.60437e+01,4.60270e+01,5.99877e-06,6.72198e-06,5.99091e-06,6.27008e-06
44.5,44.9039,-0.00020,4.63994e+01,4.63376e+01,4.64015e+01,4.63616e+01,8.41056e-06,9.44057e-06,8.37478e-06,9.03978e-06
45.0,45.4072,0.00185,4.66912e+01,4.66104e+01,4.66915e+01,4.66470e+01,1.19369e-05,1.32829e-05,1.19309e-05,1.26738e-05
