Ch 	 mean(nA) 	 sd(nA) 
1	25.258470000000003	3.9575603801247734
2	29.257949999999997	3.2715289722255414
3	24.308759999999996	3.7299431899754785
4	26.21114	3.725808767741279
5	22.517649999999996	3.9723705948435595
6	26.197230000000005	5.171036823618859
7	23.78523	3.7795362308239766
8	25.43827	4.319396678819857
9	21.86895	3.931816427344152
10	28.06485	6.19604554359741
11	20.388769999999997	5.83237069315157
12	24.730960000000007	4.072867943463044
13	21.458675	4.9796041144101
14	22.92693	4.902496446607585
15	22.463009999999997	6.013224713255868
16	23.6382	3.776452898039523
