HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
38.0,37.3749,0.00260,3.93730e+01,3.93730e+01,3.93730e+01,3.93734e+01,3.22362e-08,3.10838e-08,3.16997e-08,2.46565e-08
38.0,37.3784,0.00150,3.93771e+01,3.93767e+01,3.93769e+01,3.93768e+01,2.11100e-08,2.87096e-08,2.48253e-08,2.68718e-08
38.0,37.3813,0.00185,3.93795e+01,3.93795e+01,3.93799e+01,3.93792e+01,2.98421e-08,3.06169e-08,2.39114e-08,3.58323e-08
38.0,37.3831,0.00125,3.93814e+01,3.93812e+01,3.93815e+01,3.93816e+01,2.86599e-08,3.23455e-08,2.64545e-08,2.48253e-08
38.0,37.3851,0.00140,3.93837e+01,3.93835e+01,3.93839e+01,3.93836e+01,2.29577e-08,2.65241e-08,1.93417e-08,2.47657e-08
38.0,37.3853,-0.00005,3.93840e+01,3.93837e+01,3.93839e+01,3.93836e+01,2.21133e-08,2.74380e-08,2.25206e-08,2.87493e-08
38.0,37.3875,0.00120,3.93862e+01,3.93853e+01,3.93860e+01,3.93861e+01,2.09411e-08,3.62198e-08,2.50737e-08,2.39313e-08
38.0,37.3887,0.00060,3.93873e+01,3.93871e+01,3.93871e+01,3.93872e+01,2.35538e-08,2.66433e-08,2.67824e-08,2.46962e-08
38.0,37.3899,0.00095,3.93883e+01,3.93883e+01,3.93888e+01,3.93885e+01,2.72493e-08,2.64744e-08,1.87755e-08,2.32557e-08
38.0,37.3905,0.00055,3.93891e+01,3.93889e+01,3.93891e+01,3.93890e+01,2.39213e-08,2.65241e-08,2.37028e-08,2.45273e-08
