HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
35.0,34.3496,0.00805,3.63487e+01,3.63488e+01,3.63489e+01,3.63487e+01,1.49243e-08,1.36395e-08,1.23829e-08,1.46975e-08
35.5,34.8575,0.00590,3.68569e+01,3.68569e+01,3.68569e+01,3.68569e+01,9.17746e-09,1.01212e-08,1.02603e-08,9.36124e-09
36.0,35.365,0.00540,3.73645e+01,3.73643e+01,3.73644e+01,3.73642e+01,7.57972e-09,1.11047e-08,9.76192e-09,1.34673e-08
36.5,35.8723,0.00565,3.78718e+01,3.78719e+01,3.78720e+01,3.78717e+01,9.03838e-09,6.27504e-09,5.56972e-09,9.72218e-09
37.0,36.3789,0.00470,3.83785e+01,3.83784e+01,3.83785e+01,3.83781e+01,7.09626e-09,7.68072e-09,6.99527e-09,1.26859e-08
37.5,36.8858,0.00560,3.88853e+01,3.88851e+01,3.88850e+01,3.88852e+01,7.83139e-09,1.20832e-08,1.35700e-08,9.74867e-09
38.0,37.3911,0.00430,3.93890e+01,3.93890e+01,3.93894e+01,3.93891e+01,3.53555e-08,3.51916e-08,2.89414e-08,3.35144e-08
38.5,37.8973,0.00515,3.98930e+01,3.98925e+01,3.98933e+01,3.98930e+01,7.20372e-08,8.04398e-08,6.70006e-08,7.12176e-08
39.0,38.4026,0.00410,4.03952e+01,4.03940e+01,4.03952e+01,4.03952e+01,1.23663e-07,1.43018e-07,1.23731e-07,1.22670e-07
39.5,38.9082,0.00415,4.08963e+01,4.08951e+01,4.08966e+01,4.08961e+01,1.98202e-07,2.18547e-07,1.93127e-07,2.01641e-07
40.0,39.4145,0.00415,4.13970e+01,4.13951e+01,4.13979e+01,4.13971e+01,2.91818e-07,3.24110e-07,2.77299e-07,2.90664e-07
40.5,39.9207,0.00495,4.18965e+01,4.18931e+01,4.18966e+01,4.18960e+01,4.04250e-07,4.59853e-07,4.01917e-07,4.11875e-07
41.0,40.4267,0.00495,4.23931e+01,4.23893e+01,4.23936e+01,4.23927e+01,5.60058e-07,6.23215e-07,5.51879e-07,5.66286e-07
41.5,40.9313,0.00415,4.28856e+01,4.28806e+01,4.28863e+01,4.28857e+01,7.61229e-07,8.46037e-07,7.49893e-07,7.59621e-07
42.0,41.4359,0.00250,4.33748e+01,4.33676e+01,4.33757e+01,4.33754e+01,1.01820e-06,1.13907e-06,1.00279e-06,1.00809e-06
42.5,41.9418,0.00355,4.38608e+01,4.38506e+01,4.38602e+01,4.38616e+01,1.34953e-06,1.52076e-06,1.36089e-06,1.33617e-06
43.0,42.4481,0.00410,4.43387e+01,4.43264e+01,4.43385e+01,4.43399e+01,1.82298e-06,2.02952e-06,1.82653e-06,1.80377e-06
43.5,42.9503,0.00180,4.48046e+01,4.47856e+01,4.48026e+01,4.48054e+01,2.42947e-06,2.74549e-06,2.46257e-06,2.41593e-06
44.0,43.4565,0.00440,4.52572e+01,4.52317e+01,4.52530e+01,4.52599e+01,3.32282e-06,3.74782e-06,3.39188e-06,3.27774e-06
44.5,43.9603,0.00320,4.56847e+01,4.56498e+01,4.56716e+01,4.56908e+01,4.59438e-06,5.17684e-06,4.81340e-06,4.49357e-06
45.0,44.4659,0.00375,4.60778e+01,4.60317e+01,4.60597e+01,4.60846e+01,6.47013e-06,7.23830e-06,6.77215e-06,6.35724e-06
