HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,34.3797,0.00680,3.63794e+01,3.63797e+01,3.63795e+01,3.63799e+01,5.17070e-09,-4.22200e-10,3.19547e-09,-4.14749e-09
35.5,34.8837,0.00270,3.68836e+01,3.68838e+01,3.68836e+01,3.68839e+01,1.46197e-09,-1.37091e-09,1.51826e-09,-3.95377e-09
36.0,35.3894,0.00390,3.73895e+01,3.73891e+01,3.73897e+01,3.73892e+01,-1.17222e-09,4.81142e-09,-5.16408e-09,3.50177e-09
36.5,35.8942,0.00380,3.78939e+01,3.78939e+01,3.78939e+01,3.78943e+01,5.24686e-09,5.55648e-09,4.55810e-09,-1.71529e-09
37.0,36.4003,0.00550,3.83999e+01,3.83998e+01,3.83997e+01,3.84000e+01,6.48532e-09,7.60125e-09,1.00136e-08,4.79155e-09
37.5,36.9057,0.00560,3.89053e+01,3.89055e+01,3.89054e+01,3.89058e+01,6.39922e-09,2.65075e-09,4.82301e-09,-1.74840e-09
38.0,37.4107,0.00470,3.94089e+01,3.94086e+01,3.94087e+01,3.94093e+01,2.92030e-08,3.53505e-08,3.33703e-08,2.33551e-08
38.5,37.9154,0.00460,3.99110e+01,3.99105e+01,3.99113e+01,3.99113e+01,7.36333e-08,8.18306e-08,6.82059e-08,6.86795e-08
39.0,38.4187,0.00260,4.04114e+01,4.04105e+01,4.04116e+01,4.04112e+01,1.21971e-07,1.37278e-07,1.18809e-07,1.25165e-07
39.5,38.9251,0.00450,4.09136e+01,4.09120e+01,4.09134e+01,4.09134e+01,1.91114e-07,2.17602e-07,1.94503e-07,1.94709e-07
40.0,39.4293,0.00380,4.14125e+01,4.14099e+01,4.14126e+01,4.14116e+01,2.80660e-07,3.23893e-07,2.78711e-07,2.94884e-07
40.5,39.9358,0.00415,4.19115e+01,4.19081e+01,4.19126e+01,4.19114e+01,4.05817e-07,4.61017e-07,3.86647e-07,4.06434e-07
41.0,40.4395,0.00365,4.24062e+01,4.24015e+01,4.24063e+01,4.24055e+01,5.55487e-07,6.32889e-07,5.52959e-07,5.67226e-07
41.5,40.9451,0.00490,4.28991e+01,4.28947e+01,4.28997e+01,4.28993e+01,7.66090e-07,8.39863e-07,7.56399e-07,7.62766e-07
42.0,41.4497,0.00445,4.33883e+01,4.33813e+01,4.33898e+01,4.33892e+01,1.02358e-06,1.14097e-06,9.98817e-07,1.00789e-06
42.5,41.9542,0.00365,4.38719e+01,4.38632e+01,4.38731e+01,4.38729e+01,1.37232e-06,1.51666e-06,1.35131e-06,1.35460e-06
43.0,42.46,0.00430,4.43501e+01,4.43365e+01,4.43514e+01,4.43513e+01,1.83199e-06,2.05939e-06,1.81036e-06,1.81253e-06
43.5,42.9642,0.00405,4.48160e+01,4.47987e+01,4.48158e+01,4.48173e+01,2.47011e-06,2.75963e-06,2.47457e-06,2.44874e-06
44.0,43.4678,0.00490,4.52676e+01,4.52421e+01,4.52632e+01,4.52710e+01,3.33782e-06,3.76187e-06,3.41098e-06,3.28034e-06
44.5,43.9721,0.00495,4.56951e+01,4.56596e+01,4.56821e+01,4.56989e+01,4.61773e-06,5.20991e-06,4.83535e-06,4.55494e-06
45.0,44.4752,0.00165,4.60855e+01,4.60325e+01,4.60710e+01,4.60887e+01,6.49635e-06,7.37937e-06,6.73754e-06,6.44324e-06
