Ch 	 mean(nA) 	 sd(nA) 
1	13.936550000000002	2.9197253570422603
2	13.561065000000001	2.904106099742416
3	11.561312	3.182814687008969
4	12.450424000000002	3.147557136190258
5	12.102733	2.7362911061347663
6	12.513990999999999	3.068525313481488
7	11.104334999999999	2.0229399931521557
8	13.145816000000002	3.5136297194882546
9	10.482464999999998	2.951077740710446
10	12.564655	2.7621660910928822
11	10.394054	2.9922509593511335
12	11.409328000000002	1.7379090218215936
13	10.160603	4.426108206401973
14	11.951727999999997	2.9064655420164347
15	9.580457000000001	3.325704008072911
16	10.191398	3.5541881832058353
