HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
35.0,35.1302,-0.00085,3.71299e+01,3.71299e+01,3.71299e+01,3.71301e+01,4.53492e-09,5.66079e-09,4.95546e-09,9.50363e-10
35.5,35.6298,-0.00135,3.76295e+01,3.76293e+01,3.76298e+01,3.76293e+01,4.19054e-09,7.65754e-09,-1.65568e-12,9.04004e-09
36.0,36.1283,-0.00170,3.81280e+01,3.81281e+01,3.81282e+01,3.81280e+01,4.20544e-09,3.63257e-09,8.94070e-10,5.53661e-09
36.5,36.6249,-0.00325,3.86249e+01,3.86245e+01,3.86247e+01,3.86249e+01,4.98361e-10,6.07802e-09,2.58783e-09,-3.47694e-11
37.0,37.1241,-0.00150,3.91236e+01,3.91236e+01,3.91233e+01,3.91238e+01,7.92080e-09,8.20392e-09,1.30634e-08,5.66410e-09
37.5,37.6222,-0.00220,3.96198e+01,3.96199e+01,3.96197e+01,3.96200e+01,3.98772e-08,3.84102e-08,4.20875e-08,3.73324e-08
38.0,38.1195,-0.00300,4.01145e+01,4.01149e+01,4.01140e+01,4.01146e+01,8.33190e-08,7.62294e-08,9.18690e-08,8.21849e-08
38.5,38.6182,-0.00295,4.06100e+01,4.06099e+01,4.06086e+01,4.06092e+01,1.36036e-07,1.38339e-07,1.59712e-07,1.50431e-07
39.0,39.116,-0.00250,4.11027e+01,4.11029e+01,4.11012e+01,4.11022e+01,2.22238e-07,2.18807e-07,2.46258e-07,2.29271e-07
39.5,39.6149,-0.00295,4.15958e+01,4.15964e+01,4.15938e+01,4.15954e+01,3.18062e-07,3.08091e-07,3.52343e-07,3.25794e-07
40.0,40.1138,-0.00225,4.20870e+01,4.20875e+01,4.20839e+01,4.20864e+01,4.47053e-07,4.39011e-07,4.98492e-07,4.56557e-07
40.5,40.6116,-0.00210,4.25752e+01,4.25756e+01,4.25706e+01,4.25750e+01,6.06305e-07,6.00389e-07,6.83505e-07,6.09954e-07
41.0,41.1093,-0.00310,4.30605e+01,4.30610e+01,4.30553e+01,4.30597e+01,8.13295e-07,8.04683e-07,9.00312e-07,8.26564e-07
41.5,41.6079,-0.00220,4.35433e+01,4.35437e+01,4.35348e+01,4.35424e+01,1.07658e-06,1.06973e-06,1.21846e-06,1.09165e-06
42.0,42.1067,-0.00210,4.40205e+01,4.40192e+01,4.40100e+01,4.40193e+01,1.43687e-06,1.45818e-06,1.61176e-06,1.45673e-06
42.5,42.6047,-0.00125,4.44904e+01,4.44890e+01,4.44763e+01,4.44894e+01,1.90567e-06,1.92943e-06,2.13971e-06,1.92264e-06
43.0,43.103,-0.00180,4.49486e+01,4.49450e+01,4.49285e+01,4.49495e+01,2.57342e-06,2.63448e-06,2.90848e-06,2.55981e-06
43.5,43.5991,-0.00390,4.53900e+01,4.53816e+01,4.53639e+01,4.53903e+01,3.48629e-06,3.62520e-06,3.92062e-06,3.48056e-06
44.0,44.0962,-0.00375,4.58076e+01,4.57940e+01,4.57700e+01,4.58099e+01,4.81155e-06,5.03778e-06,5.43822e-06,4.77338e-06
44.5,44.5955,-0.00145,4.61937e+01,4.61733e+01,4.61417e+01,4.61961e+01,6.69813e-06,7.03778e-06,7.56561e-06,6.65821e-06
45.0,45.0932,-0.00150,4.65283e+01,4.64928e+01,4.64657e+01,4.65302e+01,9.41678e-06,1.00097e-05,1.04605e-05,9.38540e-06
