HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
37.0,37.1245,0.00095,3.91236e+01,3.91237e+01,3.91241e+01,3.91242e+01,1.50303e-08,1.31627e-08,6.81480e-09,5.13593e-09
37.0,37.1261,0.00055,3.91257e+01,3.91253e+01,3.91256e+01,3.91256e+01,6.08961e-09,1.25567e-08,7.80821e-09,8.36452e-09
37.0,37.126,0.00045,3.91253e+01,3.91251e+01,3.91256e+01,3.91250e+01,1.12255e-08,1.45336e-08,6.09954e-09,1.58449e-08
37.0,37.1268,0.00055,3.91265e+01,3.91261e+01,3.91263e+01,3.91265e+01,5.13593e-09,1.08480e-08,8.99037e-09,5.23527e-09
37.0,37.1264,-0.00060,3.91258e+01,3.91256e+01,3.91256e+01,3.91258e+01,1.04308e-08,1.26263e-08,1.32819e-08,9.58641e-09
37.0,37.1267,-0.00035,3.91260e+01,3.91262e+01,3.91258e+01,3.91259e+01,1.09871e-08,7.92742e-09,1.45733e-08,1.34508e-08
37.0,37.1263,-0.00070,3.91262e+01,3.91254e+01,3.91255e+01,3.91255e+01,1.97689e-09,1.48217e-08,1.39972e-08,1.27951e-08
37.0,37.1269,-0.00025,3.91260e+01,3.91264e+01,3.91265e+01,3.91264e+01,1.44343e-08,8.92083e-09,6.88434e-09,8.40425e-09
37.0,37.1277,0.00115,3.91268e+01,3.91267e+01,3.91271e+01,3.91269e+01,1.48515e-08,1.60734e-08,1.08282e-08,1.28945e-08
37.0,37.1267,0.00040,3.91260e+01,3.91262e+01,3.91263e+01,3.91261e+01,1.14441e-08,8.04663e-09,6.52671e-09,1.02023e-08
