Ch 	 mean(nA) 	 sd(nA) 
1	24.417029999999997	3.2404462631797415
2	25.1482	2.76519302360211
3	27.007849999999994	2.2944989088639334
4	26.75552	3.4859427507889142
5	24.021659999999997	2.4132825032400254
6	25.084619999999997	1.37285156420253
7	27.261180000000003	1.8685830994514414
8	25.008119999999998	2.2087376443973095
9	23.82694	3.641035863047768
10	26.409840000000003	2.129381206516735
11	28.539699999999996	2.828613062576389
12	27.168789999999994	3.4120435256602457
13	23.16733	2.8334376463346893
14	22.36266	3.477763162404504
15	27.11019	2.4652793001334903
16	23.44947	2.2034261871760843
