Ch 	 mean(nA) 	 sd(nA) 
1	25.01109	2.747724142489966
2	27.77676	3.8589885166395037
3	25.511800000000004	2.171591750562502
4	27.438010000000002	2.8284446650451236
5	21.918599999999998	1.4335564849546583
6	23.552780000000002	2.111052274630408
7	23.17925	1.6915635477602116
8	24.054449999999996	1.9405759919558823
9	22.66466	2.0774453832638886
10	27.411179999999998	2.5984867108034666
11	23.81106	1.6224675488622606
12	26.561819999999997	1.5659133471130093
13	21.89177	1.764945830487597
14	26.484339999999996	1.635092609133943
15	23.97497	2.3787112552108267
16	25.424360000000004	2.0722357353029768
