HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
35.0,34.9037,0.00250,3.69033e+01,3.69034e+01,3.69032e+01,3.69034e+01,6.16246e-09,5.67569e-09,7.68072e-09,5.41409e-09
35.5,35.4054,0.00100,3.74052e+01,3.74051e+01,3.74051e+01,3.74049e+01,3.34614e-09,4.64585e-09,5.14587e-09,8.48373e-09
36.0,35.9061,-0.00035,3.79059e+01,3.79058e+01,3.79061e+01,3.79058e+01,3.82463e-09,4.69221e-09,7.31813e-10,5.64257e-09
36.5,36.4068,0.00030,3.84069e+01,3.84066e+01,3.84064e+01,3.84067e+01,-1.25170e-09,2.55638e-09,6.09954e-09,1.74178e-09
37.0,36.9085,0.00020,3.89083e+01,3.89082e+01,3.89082e+01,3.89081e+01,3.81966e-09,4.87930e-09,5.12600e-09,6.35783e-09
37.5,37.4093,0.00005,3.94076e+01,3.94076e+01,3.94076e+01,3.94076e+01,2.87592e-08,2.81251e-08,2.87212e-08,2.88387e-08
38.0,37.9102,0.00100,3.99062e+01,3.99063e+01,3.99058e+01,3.99060e+01,6.72026e-08,6.52307e-08,7.27243e-08,6.93831e-08
38.5,38.4119,0.00110,4.04046e+01,4.04049e+01,4.04041e+01,4.04044e+01,1.20984e-07,1.16602e-07,1.29562e-07,1.24345e-07
39.0,38.9122,-0.00010,4.09010e+01,4.09010e+01,4.08995e+01,4.09004e+01,1.87480e-07,1.87361e-07,2.12527e-07,1.95983e-07
39.5,39.4126,0.00090,4.13958e+01,4.13963e+01,4.13937e+01,4.13952e+01,2.79437e-07,2.71433e-07,3.14249e-07,2.89548e-07
40.0,39.9132,-0.00005,4.18892e+01,4.18901e+01,4.18868e+01,4.18888e+01,3.99858e-07,3.84958e-07,4.40367e-07,4.06815e-07
40.5,40.4137,0.00070,4.23806e+01,4.23821e+01,4.23775e+01,4.23805e+01,5.51139e-07,5.26968e-07,6.03893e-07,5.52734e-07
41.0,40.9149,0.00085,4.28712e+01,4.28719e+01,4.28653e+01,4.28701e+01,7.28029e-07,7.16598e-07,8.27329e-07,7.46937e-07
41.5,41.4165,0.00080,4.33575e+01,4.33585e+01,4.33505e+01,4.33569e+01,9.82927e-07,9.66766e-07,1.09989e-06,9.94020e-07
42.0,41.9159,-0.00055,4.38375e+01,4.38380e+01,4.38287e+01,4.38363e+01,1.30753e-06,1.29784e-06,1.45311e-06,1.32631e-06
42.5,42.4176,0.00055,4.43126e+01,4.43132e+01,4.43006e+01,4.43128e+01,1.74982e-06,1.74070e-06,1.95056e-06,1.74724e-06
43.0,42.918,0.00045,4.47786e+01,4.47754e+01,4.47595e+01,4.47766e+01,2.32360e-06,2.37723e-06,2.64286e-06,2.35715e-06
43.5,43.4166,-0.00200,4.52272e+01,4.52230e+01,4.52031e+01,4.52274e+01,3.15760e-06,3.22775e-06,3.55965e-06,3.15421e-06
44.0,43.9175,-0.00020,4.56570e+01,4.56514e+01,4.56231e+01,4.56582e+01,4.34282e-06,4.43626e-06,4.90814e-06,4.32345e-06
44.5,44.4184,0.00045,4.60551e+01,4.60405e+01,4.60102e+01,4.60584e+01,6.05715e-06,6.30031e-06,6.80587e-06,6.00119e-06
45.0,44.9189,0.00065,4.64106e+01,4.63807e+01,4.63446e+01,4.64128e+01,8.47445e-06,8.97249e-06,9.57405e-06,8.43661e-06
