HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
37.5,37.4097,0.00185,3.94083e+01,3.94083e+01,3.94082e+01,3.94081e+01,2.28484e-08,2.32160e-08,2.55307e-08,2.68420e-08
37.5,37.411,0.00065,3.94097e+01,3.94095e+01,3.94095e+01,3.94095e+01,2.16464e-08,2.41995e-08,2.53022e-08,2.53121e-08
37.5,37.4115,-0.00025,3.94102e+01,3.94100e+01,3.94100e+01,3.94099e+01,2.14179e-08,2.52823e-08,2.45273e-08,2.59976e-08
37.5,37.4119,-0.00010,3.94105e+01,3.94107e+01,3.94107e+01,3.94105e+01,2.27789e-08,1.95007e-08,2.01861e-08,2.41200e-08
37.5,37.4117,-0.00015,3.94104e+01,3.94102e+01,3.94104e+01,3.94103e+01,2.19146e-08,2.47657e-08,2.22822e-08,2.37226e-08
37.5,37.4106,-0.00085,3.94095e+01,3.94090e+01,3.94092e+01,3.94093e+01,1.87854e-08,2.68221e-08,2.32160e-08,2.18451e-08
37.5,37.412,0.00030,3.94107e+01,3.94105e+01,3.94107e+01,3.94105e+01,2.13981e-08,2.43187e-08,2.24908e-08,2.46863e-08
37.5,37.4114,-0.00070,3.94100e+01,3.94100e+01,3.94101e+01,3.94099e+01,2.35140e-08,2.38419e-08,2.24610e-08,2.46763e-08
37.5,37.4121,0.00025,3.94108e+01,3.94107e+01,3.94107e+01,3.94107e+01,2.11398e-08,2.25405e-08,2.41200e-08,2.30173e-08
37.5,37.412,0.00040,3.94106e+01,3.94107e+01,3.94107e+01,3.94108e+01,2.37425e-08,2.10404e-08,2.16762e-08,2.03252e-08
