HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
37.5,37.4117,0.00175,3.94103e+01,3.94100e+01,3.94101e+01,3.94101e+01,2.41001e-08,2.90374e-08,2.59777e-08,2.66830e-08
37.5,37.4125,-0.00015,3.94111e+01,3.94109e+01,3.94109e+01,3.94109e+01,2.29677e-08,2.62062e-08,2.66532e-08,2.61168e-08
37.5,37.4123,-0.00060,3.94112e+01,3.94106e+01,3.94112e+01,3.94106e+01,1.88847e-08,2.84712e-08,1.90039e-08,2.87592e-08
37.5,37.4136,0.00060,3.94123e+01,3.94121e+01,3.94120e+01,3.94123e+01,2.09510e-08,2.46267e-08,2.67227e-08,2.12888e-08
37.5,37.4129,0.00025,3.94117e+01,3.94113e+01,3.94115e+01,3.94113e+01,1.92920e-08,2.71797e-08,2.35538e-08,2.65936e-08
37.5,37.4121,-0.00155,3.94108e+01,3.94105e+01,3.94107e+01,3.94107e+01,2.15371e-08,2.63353e-08,2.37028e-08,2.30869e-08
37.5,37.413,0.00010,3.94116e+01,3.94114e+01,3.94115e+01,3.94114e+01,2.39511e-08,2.59082e-08,2.52624e-08,2.64247e-08
37.5,37.4131,-0.00020,3.94117e+01,3.94117e+01,3.94117e+01,3.94116e+01,2.26100e-08,2.36233e-08,2.40207e-08,2.47260e-08
37.5,37.4133,0.00035,3.94120e+01,3.94117e+01,3.94119e+01,3.94118e+01,2.21133e-08,2.74082e-08,2.30471e-08,2.52922e-08
37.5,37.4133,-0.00025,3.94119e+01,3.94117e+01,3.94120e+01,3.94118e+01,2.25107e-08,2.60472e-08,2.18054e-08,2.52724e-08
