HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,34.9023,0.00265,3.69019e+01,3.69019e+01,3.69019e+01,3.69020e+01,7.49197e-09,7.09958e-09,6.62771e-09,5.16739e-09
35.5,35.4039,0.00115,3.74038e+01,3.74035e+01,3.74038e+01,3.74037e+01,1.76165e-09,6.38929e-09,1.23017e-09,4.04318e-09
36.0,35.905,0.00080,3.79048e+01,3.79050e+01,3.79047e+01,3.79047e+01,2.88255e-09,8.12941e-10,5.17898e-09,4.30809e-09
36.5,36.4043,-0.00110,3.84040e+01,3.84041e+01,3.84040e+01,3.84040e+01,5.31806e-09,2.95871e-09,5.32137e-09,4.89255e-09
37.0,36.9073,0.00135,3.89069e+01,3.89071e+01,3.89070e+01,3.89072e+01,6.79824e-09,3.10110e-09,5.67072e-09,2.46531e-09
37.5,37.408,-0.00065,3.94063e+01,3.94067e+01,3.94065e+01,3.94065e+01,2.88437e-08,2.23335e-08,2.53701e-08,2.54462e-08
38.0,37.9098,0.00035,3.99060e+01,3.99062e+01,3.99056e+01,3.99056e+01,6.33366e-08,5.99987e-08,7.05669e-08,6.95089e-08
38.5,38.4096,0.00020,4.04027e+01,4.04026e+01,4.04017e+01,4.04024e+01,1.14226e-07,1.16193e-07,1.32023e-07,1.20643e-07
39.0,38.9104,-0.00030,4.08992e+01,4.08993e+01,4.08978e+01,4.08988e+01,1.87483e-07,1.85326e-07,2.09653e-07,1.92662e-07
39.5,39.4109,-0.00060,4.13943e+01,4.13944e+01,4.13922e+01,4.13938e+01,2.76585e-07,2.75412e-07,3.11767e-07,2.85471e-07
40.0,39.9107,-0.00165,4.18870e+01,4.18875e+01,4.18843e+01,4.18864e+01,3.94892e-07,3.86284e-07,4.39775e-07,4.05388e-07
40.5,40.4124,0.00060,4.23798e+01,4.23804e+01,4.23761e+01,4.23792e+01,5.43921e-07,5.34142e-07,6.05558e-07,5.53725e-07
41.0,40.9124,0.00020,4.28681e+01,4.28688e+01,4.28634e+01,4.28676e+01,7.38081e-07,7.27559e-07,8.16178e-07,7.46388e-07
41.5,41.4145,0.00085,4.33557e+01,4.33556e+01,4.33488e+01,4.33554e+01,9.80367e-07,9.82606e-07,1.09466e-06,9.85305e-07
42.0,41.9153,0.00040,4.38370e+01,4.38352e+01,4.38273e+01,4.38365e+01,1.30494e-06,1.33610e-06,1.46765e-06,1.31384e-06
42.5,42.4161,0.00045,4.43127e+01,4.43086e+01,4.42996e+01,4.43103e+01,1.72415e-06,1.79226e-06,1.94217e-06,1.76429e-06
43.0,42.9172,0.00045,4.47761e+01,4.47726e+01,4.47604e+01,4.47778e+01,2.35305e-06,2.41137e-06,2.61343e-06,2.32360e-06
43.5,43.4153,-0.00175,4.52253e+01,4.52173e+01,4.52028e+01,4.52266e+01,3.16786e-06,3.30134e-06,3.54267e-06,3.14520e-06
44.0,43.9165,-0.00030,4.56566e+01,4.56420e+01,4.56251e+01,4.56572e+01,4.33339e-06,4.57599e-06,4.85771e-06,4.32291e-06
44.5,44.4173,0.00115,4.60546e+01,4.60337e+01,4.60085e+01,4.60574e+01,6.04681e-06,6.39446e-06,6.81504e-06,6.00040e-06
45.0,44.918,0.00030,4.64033e+01,4.63724e+01,4.63451e+01,4.64118e+01,8.57973e-06,9.09605e-06,9.55020e-06,8.43941e-06
