Ch 	 mean(nA) 	 sd(nA) 
1	8.643669000000001	5.39193567019087
2	10.828177	3.926545760577893
3	8.606905999999999	3.338650217116026
4	10.663276999999999	3.7427992442408664
5	5.1856052	5.892392554175006
6	7.365152999999999	4.141135119210271
7	7.02342	2.817489421035054
8	8.281075999999999	3.544412300801236
9	5.4955516	4.8983820962072135
10	7.298589000000001	5.284370955057418
11	9.0380546	4.477493278543554
12	8.339695	4.311334408835107
13	7.989996000000001	3.7002750111405387
14	6.557498000000002	3.506720826273141
15	7.243945000000001	3.730564190140831
16	6.4233909	4.003667829452456
