HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
37.0,37.3946,0.00115,3.93930e+01,3.93928e+01,3.93931e+01,3.93930e+01,2.69115e-08,3.04480e-08,2.57095e-08,2.73883e-08
37.0,37.3956,-0.00015,3.93940e+01,3.93938e+01,3.93939e+01,3.93940e+01,2.73486e-08,3.03785e-08,2.78254e-08,2.64148e-08
37.0,37.3964,0.00045,3.93948e+01,3.93946e+01,3.93949e+01,3.93949e+01,2.61863e-08,2.98421e-08,2.44677e-08,2.47955e-08
37.0,37.3969,0.00065,3.93953e+01,3.93953e+01,3.93953e+01,3.93951e+01,2.60472e-08,2.74877e-08,2.67327e-08,2.98719e-08
37.0,37.396,0.00000,3.93946e+01,3.93945e+01,3.93946e+01,3.93942e+01,2.34942e-08,2.51333e-08,2.38021e-08,2.94149e-08
37.0,37.3959,-0.00050,3.93943e+01,3.93942e+01,3.93943e+01,3.93943e+01,2.60274e-08,2.78850e-08,2.70804e-08,2.60075e-08
37.0,37.3967,0.00010,3.93953e+01,3.93949e+01,3.93952e+01,3.93952e+01,2.38220e-08,2.93056e-08,2.46366e-08,2.43982e-08
37.0,37.3953,-0.00085,3.93939e+01,3.93937e+01,3.93939e+01,3.93937e+01,2.31763e-08,2.70108e-08,2.28882e-08,2.63751e-08
37.0,37.3961,0.00015,3.93948e+01,3.93943e+01,3.93947e+01,3.93945e+01,2.23120e-08,2.94149e-08,2.37028e-08,2.71897e-08
37.0,37.3957,-0.00040,3.93943e+01,3.93940e+01,3.93942e+01,3.93940e+01,2.35240e-08,2.88288e-08,2.54909e-08,2.78652e-08
