HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A)
37.0,37.3951,0.00115,3.93933e+01,3.93931e+01,3.93933e+01,3.93933e+01,3.06368e-08,3.33786e-08,3.07858e-08,2.95440e-08
37.0,37.3962,0.00050,3.93944e+01,3.93943e+01,3.93945e+01,3.93945e+01,2.95838e-08,3.11037e-08,2.89083e-08,2.86996e-08
37.0,37.3968,0.00005,3.93953e+01,3.93951e+01,3.93952e+01,3.93952e+01,2.55803e-08,2.88785e-08,2.64446e-08,2.63055e-08
37.0,37.3966,0.00025,3.93951e+01,3.93949e+01,3.93951e+01,3.93949e+01,2.51234e-08,2.83023e-08,2.51432e-08,2.86798e-08
37.0,37.3965,-0.00010,3.93951e+01,3.93950e+01,3.93952e+01,3.93949e+01,2.35140e-08,2.56697e-08,2.15967e-08,2.62558e-08
37.0,37.396,-0.00025,3.93947e+01,3.93943e+01,3.93947e+01,3.93944e+01,2.24908e-08,2.76566e-08,2.24511e-08,2.69810e-08
37.0,37.3968,0.00050,3.93955e+01,3.93954e+01,3.93952e+01,3.93953e+01,2.19246e-08,2.35438e-08,2.71598e-08,2.51134e-08
37.0,37.396,0.00000,3.93948e+01,3.93944e+01,3.93946e+01,3.93945e+01,1.95305e-08,2.73287e-08,2.32855e-08,2.51333e-08
37.0,37.3964,0.00035,3.93951e+01,3.93948e+01,3.93951e+01,3.93951e+01,2.09510e-08,2.60572e-08,2.11497e-08,2.14279e-08
37.0,37.3957,-0.00075,3.93946e+01,3.93943e+01,3.93943e+01,3.93940e+01,1.86463e-08,2.30769e-08,2.28981e-08,2.81235e-08
