HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,35.3772,0.00475,3.73770e+01,3.73768e+01,3.73769e+01,3.73768e+01,3.28157e-09,6.07305e-09,5.24190e-09,6.90917e-09
35.5,35.8799,0.00245,3.78795e+01,3.78797e+01,3.78796e+01,3.78794e+01,6.71711e-09,3.39415e-09,4.75513e-09,7.89265e-09
36.0,36.3824,0.00185,3.83824e+01,3.83822e+01,3.83822e+01,3.83822e+01,4.78493e-10,3.17726e-09,4.09285e-09,3.66403e-09
36.5,36.8854,0.00260,3.88851e+01,3.88849e+01,3.88850e+01,3.88850e+01,5.13097e-09,8.11948e-09,6.26677e-09,6.71877e-09
37.0,37.3883,0.00220,3.93865e+01,3.93864e+01,3.93864e+01,3.93865e+01,3.01484e-08,3.23868e-08,3.15573e-08,3.01268e-08
37.5,37.891,0.00200,3.98869e+01,3.98864e+01,3.98865e+01,3.98870e+01,6.91050e-08,7.64396e-08,7.54926e-08,6.74890e-08
38.0,38.3931,0.00120,4.03856e+01,4.03847e+01,4.03852e+01,4.03859e+01,1.25082e-07,1.40473e-07,1.31420e-07,1.19994e-07
38.5,38.897,0.00200,4.08849e+01,4.08836e+01,4.08842e+01,4.08851e+01,2.01325e-07,2.23049e-07,2.12606e-07,1.98563e-07
39.0,39.4004,0.00260,4.13825e+01,4.13808e+01,4.13819e+01,4.13827e+01,2.98225e-07,3.27221e-07,3.07702e-07,2.94901e-07
39.5,39.9032,0.00230,4.18780e+01,4.18749e+01,4.18772e+01,4.18780e+01,4.20450e-07,4.71258e-07,4.33470e-07,4.20837e-07
40.0,40.4052,0.00175,4.23707e+01,4.23666e+01,4.23700e+01,4.23708e+01,5.74816e-07,6.43628e-07,5.86241e-07,5.72849e-07
40.5,40.9085,0.00255,4.28617e+01,4.28561e+01,4.28609e+01,4.28617e+01,7.79928e-07,8.73412e-07,7.93098e-07,7.79947e-07
41.0,41.4114,0.00225,4.33486e+01,4.33408e+01,4.33480e+01,4.33486e+01,1.04648e-06,1.17726e-06,1.05718e-06,1.04718e-06
41.5,41.9149,0.00275,4.38315e+01,4.38219e+01,4.38315e+01,4.38313e+01,1.39027e-06,1.55011e-06,1.39076e-06,1.39389e-06
42.0,42.4174,0.00185,4.43059e+01,4.42924e+01,4.43050e+01,4.43047e+01,1.85938e-06,2.08427e-06,1.87428e-06,1.87900e-06
42.5,42.9204,0.00220,4.47705e+01,4.47526e+01,4.47710e+01,4.47674e+01,2.49873e-06,2.79807e-06,2.49040e-06,2.55116e-06
43.0,43.4236,0.00285,4.52204e+01,4.51952e+01,4.52211e+01,4.52143e+01,3.38699e-06,3.80720e-06,3.37587e-06,3.48999e-06
43.5,43.9242,-0.00020,4.56455e+01,4.56096e+01,4.56471e+01,4.56348e+01,4.64658e-06,5.24412e-06,4.61887e-06,4.82505e-06
44.0,44.4274,0.00230,4.60372e+01,4.59886e+01,4.60405e+01,4.60155e+01,6.50524e-06,7.31595e-06,6.44952e-06,6.86653e-06
44.5,44.9296,0.00170,4.63806e+01,4.63182e+01,4.63897e+01,4.63428e+01,9.15187e-06,1.01921e-05,9.00030e-06,9.78285e-06
45.0,45.4332,0.00260,4.66699e+01,4.65759e+01,4.66738e+01,4.66095e+01,1.27244e-05,1.42926e-05,1.26595e-05,1.37316e-05
