HV_set (V),HV_rdb (V), HV_err (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A)
37.0,37.3947,0.00180,3.93929e+01,3.93926e+01,3.93931e+01,3.93925e+01,2.96533e-08,3.46700e-08,2.72592e-08,3.58621e-08
37.0,37.3949,0.00040,3.93934e+01,3.93931e+01,3.93932e+01,3.93933e+01,2.46863e-08,3.06169e-08,2.76367e-08,2.68817e-08
37.0,37.3952,0.00000,3.93936e+01,3.93933e+01,3.93935e+01,3.93936e+01,2.68718e-08,3.11534e-08,2.86102e-08,2.66731e-08
37.0,37.3955,0.00010,3.93941e+01,3.93939e+01,3.93938e+01,3.93939e+01,2.25306e-08,2.61267e-08,2.85606e-08,2.72592e-08
37.0,37.3952,-0.00100,3.93937e+01,3.93937e+01,3.93935e+01,3.93936e+01,2.45969e-08,2.46167e-08,2.83321e-08,2.73387e-08
37.0,37.3948,-0.00090,3.93932e+01,3.93930e+01,3.93932e+01,3.93930e+01,2.66532e-08,3.05871e-08,2.64744e-08,3.06666e-08
37.0,37.3958,0.00015,3.93943e+01,3.93941e+01,3.93939e+01,3.93942e+01,2.46962e-08,2.77360e-08,3.22660e-08,2.70108e-08
37.0,37.395,-0.00035,3.93933e+01,3.93933e+01,3.93931e+01,3.93933e+01,2.89877e-08,2.89281e-08,3.11931e-08,2.90076e-08
37.0,37.3952,0.00005,3.93937e+01,3.93937e+01,3.93934e+01,3.93935e+01,2.47260e-08,2.54810e-08,2.98719e-08,2.82427e-08
37.0,37.3955,0.00045,3.93942e+01,3.93936e+01,3.93939e+01,3.93938e+01,2.10802e-08,3.16799e-08,2.65340e-08,2.90871e-08
