Ch 	 mean(nA) 	 sd(nA) 
1	23.79815	3.9907389853815856
2	27.4996	3.1761158462639383
3	24.98228	3.262257364940895
4	26.626379999999997	2.3846101278359484
5	24.884949999999996	1.7944914106168846
6	28.57347	1.68721416940602
7	25.23363	1.6160492374580946
8	26.972110000000004	1.77495871341655
9	25.448220000000003	2.6598596896160607
10	29.15958	3.1675768554387287
11	28.673820000000003	1.923902544193846
12	28.80296	2.7830388922902243
13	23.77232	2.8193946358906348
14	26.361159999999998	3.44374205228363
15	23.768340000000002	1.8820165362362433
16	25.352839999999997	1.277064841475692
