HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A)
35.0,34.7572,0.00000,3.67571e+01,3.67565e+01,3.67568e+01,3.67568e+01,2.49346e-09,1.18977e-08,6.64095e-09,7.37939e-09
35.5,35.2594,0.00015,3.72593e+01,3.72592e+01,3.72593e+01,3.72591e+01,1.86761e-09,3.46369e-09,2.17226e-09,4.33624e-09
36.0,35.7561,-0.00240,3.77557e+01,3.77556e+01,3.77559e+01,3.77561e+01,5.87602e-09,7.74860e-09,3.93391e-09,7.64926e-10
36.5,36.2548,-0.00160,3.82547e+01,3.82545e+01,3.82548e+01,3.82546e+01,1.42886e-09,4.86275e-09,-5.09951e-10,2.76334e-09
37.0,36.7539,-0.00160,3.87537e+01,3.87536e+01,3.87540e+01,3.87537e+01,4.15577e-09,5.41574e-09,-1.33779e-09,2.50671e-09
37.5,37.2537,-0.00230,3.92526e+01,3.92527e+01,3.92525e+01,3.92525e+01,1.87573e-08,1.61297e-08,1.93881e-08,1.92970e-08
38.0,37.752,-0.00190,3.97493e+01,3.97495e+01,3.97487e+01,3.97491e+01,4.44932e-08,4.23640e-08,5.51525e-08,4.84784e-08
38.5,38.255,0.00145,4.02491e+01,4.02494e+01,4.02487e+01,4.02491e+01,9.91772e-08,9.26091e-08,1.05474e-07,9.80016e-08
39.0,38.7543,-0.00070,4.07443e+01,4.07451e+01,4.07436e+01,4.07452e+01,1.65918e-07,1.54153e-07,1.78370e-07,1.52517e-07
39.5,39.2518,-0.00170,4.12374e+01,4.12383e+01,4.12361e+01,4.12382e+01,2.39381e-07,2.25241e-07,2.62467e-07,2.26970e-07
40.0,39.752,-0.00080,4.17308e+01,4.17319e+01,4.17290e+01,4.17319e+01,3.53624e-07,3.35566e-07,3.84063e-07,3.35082e-07
40.5,40.2499,-0.00205,4.22211e+01,4.22226e+01,4.22182e+01,4.22211e+01,4.80500e-07,4.55242e-07,5.29135e-07,4.80374e-07
41.0,40.7498,-0.00075,4.27107e+01,4.27116e+01,4.27066e+01,4.27117e+01,6.51341e-07,6.36427e-07,7.19774e-07,6.35405e-07
41.5,41.2499,-0.00110,4.31977e+01,4.31982e+01,4.31920e+01,4.31987e+01,8.70079e-07,8.61098e-07,9.65011e-07,8.52727e-07
42.0,41.7469,-0.00295,4.36774e+01,4.36773e+01,4.36706e+01,4.36784e+01,1.15791e-06,1.16026e-06,1.27242e-06,1.14221e-06
42.5,42.245,-0.00285,4.41538e+01,4.41533e+01,4.41418e+01,4.41540e+01,1.52089e-06,1.52806e-06,1.72096e-06,1.51708e-06
43.0,42.7455,-0.00065,4.46232e+01,4.46214e+01,4.46090e+01,4.46230e+01,2.03819e-06,2.06901e-06,2.27497e-06,2.04206e-06
43.5,43.2419,-0.00305,4.50772e+01,4.50743e+01,4.50561e+01,4.50772e+01,2.74518e-06,2.79484e-06,3.09738e-06,2.74639e-06
44.0,43.7411,-0.00170,4.55172e+01,4.55106e+01,4.54870e+01,4.55172e+01,3.73284e-06,3.84242e-06,4.23632e-06,3.73276e-06
44.5,44.2396,-0.00110,4.59333e+01,4.59186e+01,4.58906e+01,4.59295e+01,5.10702e-06,5.35141e-06,5.81782e-06,5.16922e-06
45.0,44.739,-0.00180,4.63076e+01,4.62802e+01,4.62518e+01,4.63058e+01,7.19113e-06,7.64865e-06,8.12161e-06,7.22158e-06
