HV_set (V),HV_rdb (V), HV_err (V),VsCH_13 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_13 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A)
35.0,34.7619,-0.00085,3.67619e+01,3.67615e+01,3.67613e+01,3.67621e+01,4.70214e-10,6.00020e-09,9.65926e-09,-2.82460e-09
35.5,35.2601,-0.00355,3.72596e+01,3.72600e+01,3.72596e+01,3.72599e+01,8.41750e-09,1.36594e-09,7.88271e-09,2.60605e-09
36.0,35.7576,-0.00100,3.77579e+01,3.77574e+01,3.77577e+01,3.77574e+01,-4.41737e-09,3.80642e-09,-1.00334e-09,2.85109e-09
36.5,36.255,-0.00200,3.82553e+01,3.82550e+01,3.82545e+01,3.82552e+01,-4.31306e-09,5.01672e-10,8.57479e-09,-3.05805e-09
37.0,36.7552,-0.00160,3.87546e+01,3.87548e+01,3.87550e+01,3.87550e+01,9.24038e-09,7.01514e-09,3.48522e-09,3.30971e-09
37.5,37.2554,-0.00040,3.92544e+01,3.92544e+01,3.92546e+01,3.92543e+01,1.69509e-08,1.62158e-08,1.28332e-08,1.76728e-08
38.0,37.7539,-0.00100,3.97512e+01,3.97513e+01,3.97510e+01,3.97509e+01,4.49883e-08,4.36621e-08,4.82765e-08,4.96474e-08
38.5,38.2536,-0.00120,4.02477e+01,4.02482e+01,4.02473e+01,4.02482e+01,9.88046e-08,9.01868e-08,1.05591e-07,9.01288e-08
39.0,38.7522,-0.00125,4.07427e+01,4.07434e+01,4.07419e+01,4.07427e+01,1.58547e-07,1.47480e-07,1.72002e-07,1.58480e-07
39.5,39.2523,-0.00055,4.12375e+01,4.12385e+01,4.12368e+01,4.12379e+01,2.46430e-07,2.29614e-07,2.58426e-07,2.39351e-07
40.0,39.7497,-0.00565,4.17290e+01,4.17297e+01,4.17267e+01,4.17290e+01,3.45157e-07,3.32847e-07,3.82814e-07,3.45689e-07
40.5,40.2482,-0.00190,4.22191e+01,4.22201e+01,4.22172e+01,4.22199e+01,4.84740e-07,4.69105e-07,5.16650e-07,4.72031e-07
41.0,40.7486,0.00010,4.27096e+01,4.27111e+01,4.27054e+01,4.27100e+01,6.49767e-07,6.24582e-07,7.20678e-07,6.43584e-07
41.5,41.2495,-0.00280,4.31970e+01,4.31984e+01,4.31924e+01,4.31973e+01,8.74443e-07,8.51669e-07,9.52022e-07,8.69441e-07
42.0,41.7494,-0.00060,4.36802e+01,4.36808e+01,4.36716e+01,4.36812e+01,1.15380e-06,1.14405e-06,1.29628e-06,1.13661e-06
42.5,42.248,-0.00095,4.41562e+01,4.41560e+01,4.41459e+01,4.41569e+01,1.53077e-06,1.53363e-06,1.70131e-06,1.51811e-06
43.0,42.7454,-0.00235,4.46209e+01,4.46210e+01,4.46079e+01,4.46226e+01,2.07523e-06,2.07452e-06,2.29202e-06,2.04685e-06
43.5,43.2429,-0.00430,4.50785e+01,4.50729e+01,4.50566e+01,4.50791e+01,2.74054e-06,2.83357e-06,3.10560e-06,2.73139e-06
44.0,43.7444,-0.00085,4.55212e+01,4.55130e+01,4.54925e+01,4.55224e+01,3.72118e-06,3.85845e-06,4.19913e-06,3.70048e-06
44.5,44.2381,-0.00140,4.59260e+01,4.59157e+01,4.58883e+01,4.59268e+01,5.20274e-06,5.37432e-06,5.83186e-06,5.18912e-06
45.0,44.7368,-0.00190,4.63025e+01,4.62801e+01,4.62476e+01,4.63039e+01,7.23935e-06,7.61386e-06,8.15606e-06,7.21761e-06
