Ch 	 mean(nA) 	 sd(nA) 
1	18.59864	2.2435902186748216
2	17.612190000000002	1.9371459185845774
3	21.68815	2.7755628911587964
4	21.89576	1.3143234196937814
5	17.20885	2.26684469166088
6	16.585	3.1956260934109437
7	21.03051	2.782055879481136
8	18.661209999999997	2.9170115218795036
9	15.74259	3.0959917626397733
10	16.4181	3.368325078333938
11	17.723429999999997	4.537924024889208
12	17.816840000000003	3.585413879472092
13	18.959239999999998	3.028658245347452
14	21.343419999999995	2.845948218784031
15	22.46201	2.401876634564454
16	19.59899	3.303665311085048
